seed_analysis,contrast,candidate,reference,label_budget,scenario,target_fpr,metric,n_seeds,mean_difference,sd_difference,ci95_low,ci95_high,exact_signflip_p_two_sided,cohen_dz,wins,ties,losses
ORIGINAL5,BASE_minus_STRUCT_LR,BASE_LOGREG,STRUCT_LOGREG,0.1,IID_ORIGINAL,0.005,recall,5,-0.045746691871455594,0.10564596554624851,-0.17692348384570789,0.08543010010279671,0.5,-0.43301882504381217,2,0,3
ORIGINAL5,BASE_minus_STRUCT_LR,BASE_LOGREG,STRUCT_LOGREG,0.1,IID_ORIGINAL,0.005,empirical_fpr,5,-0.002609131961866533,0.005146364838919453,-0.008999187903974543,0.0037809239802414772,0.375,-0.5069854243785706,4,0,1
ORIGINAL5,BASE_minus_STRUCT_LR,BASE_LOGREG,STRUCT_LOGREG,0.1,IID_ORIGINAL,0.005,f1,5,-0.054548421856698524,0.12528649701650182,-0.21011215466315245,0.10101531094975538,0.5,-0.4353894725743174,2,0,3
ORIGINAL5,BASE_minus_STRUCT_LR,BASE_LOGREG,STRUCT_LOGREG,0.1,IID_ORIGINAL,0.005,precision,5,0.010785780631816611,0.01950683806468093,-0.013435157911888537,0.035006719175521755,0.3125,0.5529230619566858,4,0,1
ORIGINAL5,BASE_minus_STRUCT_LR,BASE_LOGREG,STRUCT_LOGREG,0.1,IID_ORIGINAL,0.005,roc_auc,5,0.06969615772405688,0.010920781926677744,0.056136215973466755,0.083256099474647,0.0625,6.381975044644027,5,0,0
ORIGINAL5,BASE_minus_STRUCT_LR,BASE_LOGREG,STRUCT_LOGREG,0.1,IID_ORIGINAL,0.01,recall,5,-0.07542533081285444,0.10501578966749711,-0.2058196560859247,0.05496899446021583,0.125,-0.7182284783237595,1,0,4
ORIGINAL5,BASE_minus_STRUCT_LR,BASE_LOGREG,STRUCT_LOGREG,0.1,IID_ORIGINAL,0.01,empirical_fpr,5,-0.007827395885599598,0.0010992926392476999,-0.009192347979243868,-0.006462443791955329,0.0625,-7.120393247567154,5,0,0
ORIGINAL5,BASE_minus_STRUCT_LR,BASE_LOGREG,STRUCT_LOGREG,0.1,IID_ORIGINAL,0.01,f1,5,-0.07478929228085612,0.11634260258591535,-0.21924771336911564,0.06966912880740339,0.125,-0.6428366790714226,1,0,4
ORIGINAL5,BASE_minus_STRUCT_LR,BASE_LOGREG,STRUCT_LOGREG,0.1,IID_ORIGINAL,0.01,precision,5,0.02518635918331631,0.006286102776742658,0.01738113167642622,0.032991586690206395,0.0625,4.006673145164103,5,0,0
ORIGINAL5,BASE_minus_STRUCT_LR,BASE_LOGREG,STRUCT_LOGREG,0.1,IID_ORIGINAL,0.01,roc_auc,5,0.06969615772405688,0.010920781926677744,0.056136215973466755,0.083256099474647,0.0625,6.381975044644027,5,0,0
