Path;Bytes;SHA256
00_START_HERE/AUDIT_COMPLETENESS.md;1672;7024e7204877d72dcc85db19939d932c6d950cf2ba307c7b07ccbabeadde2ce8
00_START_HERE/EVIDENCE_PRIORITY.md;602;2015c2207f3806a2a518c6049033c3f5c26c9f54e43db9b56a72865167b3ac2c
00_START_HERE/EXPERIMENT_REGISTER_AUDITED.csv;1366;2e921c8ad8a44251cd163849207afa5cb93feb241dd134ffea0bd0e0b3b2089a
00_START_HERE/README.md;692;0d2b1ad30fd99320fb099b71c8e6fe8856aabcd06a5329953ef61048cd7dbeef
01_GOVERNANCE/2026-02-11 - DHBW MOS - SG W-WI - Arbeiten - Hinweise und Richtlinien - 2S.pdf;1869642;cd1d1a8d4882da3d9f460f6df87efd9d5be26d6611adbf5b8e2fa85009ead8ef
01_GOVERNANCE/Bachelorarbeit-THEMA.txt;16149;251ce2551eea2455ed29deb1d02d55502dbfdd699bccef7d45f6325585862cba
01_GOVERNANCE/Gutachtenformular_PA-BA_09.01.2023.dotx;67942;d073a2dfe703f5d42d678315b70a8ecec76e441580f7f84a12be712ce3873ca9
02_CANONICAL_NOTEBOOKS/E01_CORE_FREEZE/phreshphish_final_freeze_evaluation_v5_resume.ipynb;78744;1a51fabece14112ba7cf2950fd499e085258e47d9e73ee7f7b8f2b53e0bdaefd
02_CANONICAL_NOTEBOOKS/E02_HYBRID_5SEED_SUPPORT/phreshphish_hybrid_freeze_extension_fpr_apfix_v3_resume.ipynb;106839;cce496957e408ddeffb1bedad6306958044c633489daaba6c62159af339d2ca5
02_CANONICAL_NOTEBOOKS/E03_FINAL_N10_PRIMARY/phreshphish_FINAL_BACHELOR_RUN_N10_PRUEFSICHER.ipynb;304958;740619fb04c36d2d43c628cbd1b1a2238d6567921df21b61e4aade8ddda739ff
02_CANONICAL_NOTEBOOKS/E04_PRODUCTIVE_AL/phreshphish_PRODUCTIVE_CASCADE_AL_SSL_LOOP.ipynb;384261;2f5d9e99bb92794ccf14550476ec5c97231392f2280e7eaf9b294caed7b5f071
02_CANONICAL_NOTEBOOKS/E05_SSL_REFRESH_ABLATION/phreshphish_PRODUCTIVE_LOOP_FINISH_ONLY_v2_FLAT_KAGGLE.ipynb;67144;e5517727ec06476d390baa72f975183f9c8d596cdc1c1f73f4d66cf9887efa5c
02_CANONICAL_NOTEBOOKS/E06_AL_SSL_ORIGINAL10/phreshphish_AL_SSL_INTERACTION_N10_FAST_3H30_v2_BUDGETKEY_FIX.ipynb;85400;5989e5da459ec3127d18c1e6e1aed79de2662f3b981351af3e9f4d41f057215c
02_CANONICAL_NOTEBOOKS/E07_REPLICATION10_RUNNING/phreshphish_AL_SSL_INTERACTION_INDEPENDENT_REPLICATION10.ipynb;45437;4717e8477874ccf0a113ef5c5ac02234b57aa5e8a719aa6cbd8ebbe145856721
03_NOTEBOOK_HISTORY/E01_FREEZE_FIX_HISTORY/phreshphish_final_freeze_evaluation.ipynb;61808;5df4478a2746b11506272dd41f9ecf932cf2153c296c3147be7984be27c1ba50
03_NOTEBOOK_HISTORY/E01_FREEZE_FIX_HISTORY/phreshphish_final_freeze_evaluation_v2.ipynb;62844;59ab3d1a9e45804e40446e149e2b4cadcd88592beed5fc51bb6636b999d263e4
03_NOTEBOOK_HISTORY/E01_FREEZE_FIX_HISTORY/phreshphish_final_freeze_evaluation_v3.ipynb;71124;e88f1bf7a6efd9dc96791553a4a9af3ef299d462405e98f06fb256b003a85ec2
03_NOTEBOOK_HISTORY/E01_FREEZE_FIX_HISTORY/phreshphish_final_freeze_evaluation_v4.ipynb;73568;dc490a738f9a3da905bc0f7c1b01906ca5cf0887db91228606bfcd61b9f0ba06
03_NOTEBOOK_HISTORY/E02_HYBRID_FIX_HISTORY/phreshphish_FINAL_BACHELOR_RUN.ipynb;248300;924deac7a495451b107fccbe0e617d705ddebc85dee53e2223f9d6b0d64cf8d2
03_NOTEBOOK_HISTORY/E02_HYBRID_FIX_HISTORY/phreshphish_cascade_error_analysis_25pct.ipynb;42214;0b516697174fc57c2ef0d28dbe4ee50357da6501b7c3272caf96e354d048349b
03_NOTEBOOK_HISTORY/E02_HYBRID_FIX_HISTORY/phreshphish_hybrid_freeze_extension_fpr_apfix.ipynb;96071;4f9e36f6fb605fedcf5f9c0a8732cee5c13e69277e480638630cece02e7dad17
03_NOTEBOOK_HISTORY/E04_PRODUCTIVE_AL_FIX_HISTORY/phreshphish_PRODUCTIVE_CASCADE_AL_SSL_LOOP_v2_RESUME_FIX.ipynb;386074;65435338c283a5d1dd4b7712c33596ab0cb563daf0d55dc88bf3849e1416a993
03_NOTEBOOK_HISTORY/E05_SSL_REFRESH_FIX_HISTORY/phreshphish_PRODUCTIVE_LOOP_FINISH_ONLY.ipynb;62755;84885e19cd15118948aa31dccdc08cc00335b0ca4cd5425a984f36b6f5cc7efb
03_NOTEBOOK_HISTORY/E06_AL_SSL_FIX_HISTORY/phreshphish_AL_SSL_INTERACTION_N10_FAST_3H30.ipynb;82052;57c6d73e32c097c30b922439878c66e4625f06daf121f08d14ae6cf623eae30b
