path,size,SHA256
00_START_HERE/AUDIT_COMPLETENESS.md,1707,a933206c4674669137c2e8de468a66a89f72c32ecd511c263aead53fb569506c
00_START_HERE/EVIDENCE_PRIORITY.md,613,7c6a6ccc6c933c024806968f75c19fd1864be2ab983dbce4ec21b890123d3246
00_START_HERE/EXPERIMENT_REGISTER_AUDITED.csv,1366,2e921c8ad8a44251cd163849207afa5cb93feb241dd134ffea0bd0e0b3b2089a
00_START_HERE/FILE_HASHES_SHA256.csv,49430,0d5b29a6b24034568142414c57cf995b789c33c2551176b4e78ca80128ea5f2d
00_START_HERE/README.md,709,ce10d63431436f72ce13e41bfcf1f7550c50c2fd0be1ace60fe7c7994aa62b8b
00_START_HERE/RESTRUCTURE_AUDIT.md,75759,e94f42276647712bdfaf5d6ea51e581171f05f7ce7bcbac7c81473229e0718c3
01_GOVERNANCE/2026-02-11 - DHBW MOS - SG W-WI - Arbeiten - Hinweise und Richtlinien - 2S.pdf,1869642,cd1d1a8d4882da3d9f460f6df87efd9d5be26d6611adbf5b8e2fa85009ead8ef
01_GOVERNANCE/Bachelorarbeit-THEMA.txt,16635,2fa4721e3e1afcba8985d7fde266f5d403c8b6f2b0cf42cd83c7d5212eb101c0
01_GOVERNANCE/Gutachtenformular_PA-BA_09.01.2023.dotx,67942,d073a2dfe703f5d42d678315b70a8ecec76e441580f7f84a12be712ce3873ca9
02_CANONICAL_NOTEBOOKS/E01_CORE_FREEZE/phreshphish_final_freeze_evaluation_v5_resume.ipynb,80384,9ee9184aff55e8f47bf0c6efe1d48f3491450c8c28ce09a34f44e4987567a207
02_CANONICAL_NOTEBOOKS/E02_HYBRID_5SEED_SUPPORT/phreshphish_hybrid_freeze_extension_fpr_apfix_v3_resume.ipynb,109242,cb902a50cc8017d4421af2dfb1bf3e96ca3cc7a7c56ebc3dc3bdd6a50abb3d14
02_CANONICAL_NOTEBOOKS/E03_FINAL_N10_PRIMARY/phreshphish_FINAL_BACHELOR_RUN_N10_PRUEFSICHER.ipynb,312299,120aa401cc12456dea99b8504185d18691d9ab548b90a72964ed6b88e91a6389
02_CANONICAL_NOTEBOOKS/E04_PRODUCTIVE_AL/phreshphish_PRODUCTIVE_CASCADE_AL_SSL_LOOP.ipynb,393658,5138a3f0a94825b86c769f735f33f9e8a8d62a974420a5918e63acd7b17f0ab7
02_CANONICAL_NOTEBOOKS/E05_SSL_REFRESH_ABLATION/phreshphish_PRODUCTIVE_LOOP_FINISH_ONLY_v2_FLAT_KAGGLE.ipynb,68730,dd41b81ddb2dbb8df72c549e29907277b0f1f081fe088c6ea32162c7f3176856
02_CANONICAL_NOTEBOOKS/E06_AL_SSL_ORIGINAL10/phreshphish_AL_SSL_INTERACTION_N10_FAST_3H30_v2_BUDGETKEY_FIX.ipynb,87569,d08e5f3b8b860625563f683bac86d9445e17f3667165485d0b8a84ec7217ba47
02_CANONICAL_NOTEBOOKS/E07_REPLICATION10_RUNNING/phreshphish_AL_SSL_INTERACTION_INDEPENDENT_REPLICATION10.ipynb,45984,a9d85784e82cbaad060b841794750b73cef68767b8395328de03bb2b6db44491
03_NOTEBOOK_HISTORY/E01_FREEZE_FIX_HISTORY/phreshphish_final_freeze_evaluation.ipynb,63083,f400a7ab517c0b568bf88a7878aac8c095878634d7df99a05f78e9517f6beb65
03_NOTEBOOK_HISTORY/E01_FREEZE_FIX_HISTORY/phreshphish_final_freeze_evaluation_v2.ipynb,64144,72c0455aa5695d03ddc2085c6ab2bdc2f18387b4c429635da27759b27646e741
03_NOTEBOOK_HISTORY/E01_FREEZE_FIX_HISTORY/phreshphish_final_freeze_evaluation_v3.ipynb,72610,4d20874e56a21d45f3820bf79a729ff0b82c06fa81fe8b9613bfc81f9bb027a4
03_NOTEBOOK_HISTORY/E01_FREEZE_FIX_HISTORY/phreshphish_final_freeze_evaluation_v4.ipynb,75094,85c1fdff8cef72af81878a2869bce10fbf9997629dcb8f0c670666ca960a0554
03_NOTEBOOK_HISTORY/E02_HYBRID_FIX_HISTORY/phreshphish_cascade_error_analysis_25pct.ipynb,43210,4eae61e2ac80b62e9a1d7ab4e44512e0403466cd911e5acea3539878ecd4f5f8
03_NOTEBOOK_HISTORY/E02_HYBRID_FIX_HISTORY/phreshphish_FINAL_BACHELOR_RUN.ipynb,254891,625a880c665b52bf7d9f5a9ae558cda8b8f715fe711c2c210e697e2f99f46593
03_NOTEBOOK_HISTORY/E02_HYBRID_FIX_HISTORY/phreshphish_hybrid_freeze_extension_fpr_apfix.ipynb,98216,2929a8bb2202c1aa00f6baead12ee42f8c0b97cdb07e45e85dcd6c1490132e40
03_NOTEBOOK_HISTORY/E04_PRODUCTIVE_AL_FIX_HISTORY/phreshphish_PRODUCTIVE_CASCADE_AL_SSL_LOOP_v2_RESUME_FIX.ipynb,395512,25e6989d6661b41f9e506561f10ef948e9922d5fd27980276b4dc18d86639292
03_NOTEBOOK_HISTORY/E05_SSL_REFRESH_FIX_HISTORY/phreshphish_PRODUCTIVE_LOOP_FINISH_ONLY.ipynb,64231,a72a6141bdfa24c02160af5191d90bb18ddee1ae4579ee642b5ea08f182d9940
