model,seed,label_budget,scenario,target_fpr,review_fraction,direct_recall,direct_fpr,direct_ap,stage1_recall,stage1_fpr,review_precision,assisted_recall,capture_rate
T0_AL_SELECTED,42,0.25,IID_ORIGINAL,0.005,0.05,0.6162570888468809,0.0045158053186151,0.904285689768303,0.4612476370510397,0.0030105368790767,0.9765625,0.5793950850661626,0.219298245614035
T0_AL_SELECTED,42,0.25,IID_ORIGINAL,0.005,0.1,0.6162570888468809,0.0045158053186151,0.904285689768303,0.4612476370510397,0.0030105368790767,0.96484375,0.6947069943289225,0.4333333333333333
T0_AL_SELECTED,42,0.25,IID_ORIGINAL,0.005,0.2,0.6162570888468809,0.0045158053186151,0.904285689768303,0.4612476370510397,0.0030105368790767,0.736328125,0.8175803402646503,0.6614035087719298
T0_AL_SELECTED,42,0.25,IID_BALANCED,0.005,0.05,0.6162570888468809,0.0056710775047258,0.934029857979578,0.4612476370510397,0.0028355387523629,0.975609756097561,0.5368620037807184,0.1403508771929824
T0_AL_SELECTED,42,0.25,IID_BALANCED,0.005,0.1,0.6162570888468809,0.0056710775047258,0.934029857979578,0.4612476370510397,0.0028355387523629,0.9754601226993864,0.611531190926276,0.2789473684210526
T0_AL_SELECTED,42,0.25,IID_BALANCED,0.005,0.2,0.6162570888468809,0.0056710775047258,0.934029857979578,0.4612476370510397,0.0028355387523629,0.9507692307692308,0.7533081285444234,0.5421052631578948
T0_AL_SELECTED,42,0.25,TEMPORAL,0.005,0.05,0.65975,0.004,0.973901765503776,0.53475,0.00175,0.9965870307167236,0.60775,0.1569048898441698
T0_AL_SELECTED,42,0.25,TEMPORAL,0.005,0.1,0.65975,0.004,0.973901765503776,0.53475,0.00175,0.9897610921501706,0.67975,0.3116603976356797
T0_AL_SELECTED,42,0.25,TEMPORAL,0.005,0.2,0.65975,0.004,0.973901765503776,0.53475,0.00175,0.9658411614005123,0.8175,0.6077377753895755
T0_AL_SELECTED,42,0.25,DOMAIN_OOD,0.005,0.05,0.576464489372732,0.0051840331778123,0.964859715226046,0.4504924831518921,0.0025920165889061,1.0,0.5282529808190772,0.1415094339622641
T0_AL_SELECTED,42,0.25,DOMAIN_OOD,0.005,0.1,0.576464489372732,0.0051840331778123,0.964859715226046,0.4504924831518921,0.0025920165889061,0.9899665551839464,0.6039398652151374,0.2792452830188679
T0_AL_SELECTED,42,0.25,DOMAIN_OOD,0.005,0.2,0.576464489372732,0.0051840331778123,0.964859715226046,0.4504924831518921,0.0025920165889061,0.9631490787269682,0.7485743908761016,0.5424528301886793
T0_AL_SELECTED,42,0.25,TEMPLATE_OOD,0.005,0.05,0.6484192037470726,0.0040983606557377,0.9719887875392784,0.5152224824355972,0.0020491803278688,0.9960629921259844,0.5892857142857143,0.1527777777777778
T0_AL_SELECTED,42,0.25,TEMPLATE_OOD,0.005,0.1,0.6484192037470726,0.0040983606557377,0.9719887875392784,0.5152224824355972,0.0020491803278688,0.9921104536489151,0.6624707259953162,0.303743961352657
T0_AL_SELECTED,42,0.25,TEMPLATE_OOD,0.005,0.2,0.6484192037470726,0.0040983606557377,0.9719887875392784,0.5152224824355972,0.0020491803278688,0.9684106614017768,0.802400468384075,0.592391304347826
T0_AL_SELECTED,42,0.25,DOMAIN_TEMPLATE_OOD,0.005,0.05,0.5507011866235167,0.0048543689320388,0.963020995733191,0.4234088457389428,0.0026968716289104,1.0,0.5021574973031284,0.1365762394761459
T0_AL_SELECTED,42,0.25,DOMAIN_TEMPLATE_OOD,0.005,0.1,0.5507011866235167,0.0048543689320388,0.963020995733191,0.4234088457389428,0.0026968716289104,0.9931506849315068,0.5798274002157497,0.2712815715622076
T0_AL_SELECTED,42,0.25,DOMAIN_TEMPLATE_OOD,0.005,0.2,0.5507011866235167,0.0048543689320388,0.963020995733191,0.4234088457389428,0.0026968716289104,0.9674657534246576,0.7281553398058253,0.5285313376987839
