contrast,strategy,scenario,label_budget,target_fpr,metric,n_seeds,mean_difference,sd_difference,ci95_low,ci95_high,exact_signflip_p_two_sided,cohen_dz,wins,ties,losses
DAPT_minus_T0,RANDOM_GLOBAL,IID_ORIGINAL,0.25,0.005,recall,10,-0.02778827977315691,0.06402648952370454,-0.07359007122012906,0.01801351167381524,0.216796875,-0.4340122343091893,1,0,9
DAPT_minus_T0,RANDOM_GLOBAL,IID_ORIGINAL,0.25,0.005,empirical_fpr,10,-0.0017561465127948384,0.002625910431193777,-0.003634609674256126,0.00012231664866644968,0.078125,-0.6687762430634273,2,0,8
DAPT_minus_T0,RANDOM_GLOBAL,IID_ORIGINAL,0.25,0.005,precision,10,0.004640781286807505,0.009014791395587808,-0.0018080119940704987,0.011089574567685508,0.138671875,0.5147963034484508,7,0,3
DAPT_minus_T0,RANDOM_GLOBAL,IID_ORIGINAL,0.25,0.005,f1,10,-0.023528534327680227,0.06024266684434544,-0.06662354208993754,0.019566473434577077,0.2734375,-0.39056262878389963,1,0,9
DAPT_minus_T0,RANDOM_GLOBAL,IID_ORIGINAL,0.25,0.005,average_precision,10,-0.006606162146010364,0.00947716705436026,-0.013385719047552149,0.00017339475553142074,0.05859375,-0.6970608524802776,1,0,9
DAPT_minus_T0,RANDOM_GLOBAL,IID_ORIGINAL,0.25,0.005,roc_auc,10,-0.00998693916420138,0.015649424989435178,-0.02118186340514034,0.0012079850767375798,0.080078125,-0.6381665250284593,2,0,8
DAPT_minus_T0,RANDOM_GLOBAL,IID_BALANCED,0.25,0.005,recall,10,-0.02778827977315691,0.06402648952370454,-0.07359007122012906,0.01801351167381524,0.216796875,-0.4340122343091893,1,0,9
DAPT_minus_T0,RANDOM_GLOBAL,IID_BALANCED,0.25,0.005,empirical_fpr,10,0.001701323251417725,0.003112561823624045,-0.0005252693444273973,0.003927915847262847,0.14453125,0.5465990228707571,7,1,2
DAPT_minus_T0,RANDOM_GLOBAL,IID_BALANCED,0.25,0.005,precision,10,-0.004172289157783215,0.005841394742861324,-0.008350971227693047,6.392912126616454e-06,0.048828125,-0.7142624906289895,2,0,8
DAPT_minus_T0,RANDOM_GLOBAL,IID_BALANCED,0.25,0.005,f1,10,-0.02579065364133103,0.06051624720573445,-0.06908136900445075,0.017500061721788692,0.2265625,-0.4261773462860588,1,0,9
DAPT_minus_T0,RANDOM_GLOBAL,IID_BALANCED,0.25,0.005,average_precision,10,-0.008611110151038815,0.007132082092558008,-0.013713094330025957,-0.0035091259720516728,0.0078125,-1.207376757486303,1,0,9
DAPT_minus_T0,RANDOM_GLOBAL,IID_BALANCED,0.25,0.005,roc_auc,10,-0.011996321125210364,0.015011010989487768,-0.022734551502407302,-0.0012580907480134237,0.037109375,-0.7991680995777969,2,0,8
DAPT_minus_T0,RANDOM_GLOBAL,TEMPORAL,0.25,0.005,recall,10,-0.017325000000000007,0.04896669077603221,-0.0523536604100302,0.017703660410030186,0.29296875,-0.3538119428826115,2,0,8
DAPT_minus_T0,RANDOM_GLOBAL,TEMPORAL,0.25,0.005,empirical_fpr,10,-0.000625,0.0018037384018261139,-0.001915316722342682,0.0006653167223426821,0.3046875,-0.34650257452369304,3,0,7
