seed,scenario,target_fpr,base_model,candidate_model,base_calibration_empirical_fpr,candidate_calibration_empirical_fpr,base_empirical_fpr,candidate_empirical_fpr,candidate_minus_base_fpr,base_fn,candidate_fn,common_fn,rescued_b0_fn,regressed_b0_tp,fn_jaccard,fn_rescue_rate,base_fp,candidate_fp,common_fp,avoided_b0_fp,new_fp_vs_b0,fp_jaccard
42,IID_ORIGINAL,0.005,B0_STRUCT_XGB,T0_E2E,0.00468384074941452,0.00468384074941452,0.004515805318615153,0.008028098344204716,0.003512293025589563,557,414,345,212,69,0.5511182108626198,0.38061041292639136,9,16,6,3,10,0.3157894736842105
42,IID_BALANCED,0.005,B0_STRUCT_XGB,T0_E2E,0.00468384074941452,0.00468384074941452,0.006616257088846881,0.00945179584120983,0.002835538752362949,557,414,345,212,69,0.5511182108626198,0.38061041292639136,7,10,6,1,4,0.5454545454545454
42,TEMPORAL,0.005,B0_STRUCT_XGB,T0_E2E,0.00468384074941452,0.00468384074941452,0.00275,0.0065,0.00375,1879,1362,985,894,377,0.436613475177305,0.47578499201703034,11,26,2,9,24,0.05714285714285714
42,DOMAIN_OOD,0.005,B0_STRUCT_XGB,T0_E2E,0.00468384074941452,0.00468384074941452,0.002592016588906169,0.006220839813374806,0.0036288232244686366,1129,826,598,531,228,0.4406779661016949,0.47032772364924713,5,12,1,4,11,0.0625
42,TEMPLATE_OOD,0.005,B0_STRUCT_XGB,T0_E2E,0.00468384074941452,0.00468384074941452,0.002927400468384075,0.005269320843091335,0.0023419203747072595,1700,1205,885,815,320,0.4381188118811881,0.47941176470588237,10,18,2,8,16,0.07692307692307693
42,DOMAIN_TEMPLATE_OOD,0.005,B0_STRUCT_XGB,T0_E2E,0.00468384074941452,0.00468384074941452,0.002157497303128371,0.005393743257820928,0.0032362459546925572,1143,837,620,523,217,0.45588235294117646,0.4575678040244969,4,10,1,3,9,0.07692307692307693
42,IID_ORIGINAL,0.01,B0_STRUCT_XGB,T0_E2E,0.00936768149882904,0.00936768149882904,0.008028098344204716,0.01154039136979428,0.003512293025589565,523,374,316,207,58,0.5438898450946644,0.39579349904397704,16,23,6,10,17,0.18181818181818182
42,IID_BALANCED,0.01,B0_STRUCT_XGB,T0_E2E,0.00936768149882904,0.00936768149882904,0.012287334593572778,0.014177693761814745,0.0018903591682419667,523,374,316,207,58,0.5438898450946644,0.39579349904397704,13,15,6,7,9,0.2727272727272727
42,TEMPORAL,0.01,B0_STRUCT_XGB,T0_E2E,0.00936768149882904,0.00936768149882904,0.0045,0.00975,0.00525,1757,1204,862,895,342,0.4106717484516436,0.5093910073989756,18,39,2,16,37,0.03636363636363636
42,DOMAIN_OOD,0.01,B0_STRUCT_XGB,T0_E2E,0.00936768149882904,0.00936768149882904,0.005702436495593572,0.009849663037843442,0.0041472265422498695,1055,726,512,543,214,0.4034672970843184,0.5146919431279621,11,19,1,10,18,0.034482758620689655
42,TEMPLATE_OOD,0.01,B0_STRUCT_XGB,T0_E2E,0.00936768149882904,0.00936768149882904,0.004976580796252928,0.00819672131147541,0.0032201405152224825,1586,1065,764,822,301,0.40487546369899313,0.5182849936948297,17,28,2,15,26,0.046511627906976744
42,DOMAIN_TEMPLATE_OOD,0.01,B0_STRUCT_XGB,T0_E2E,0.00936768149882904,0.00936768149882904,0.005393743257820928,0.009169363538295576,0.003775620280474648,1070,743,541,529,202,0.425314465408805,0.49439252336448597,10,17,1,9,16,0.038461538461538464
42,IID_ORIGINAL,0.02,B0_STRUCT_XGB,T0_E2E,0.01990632318501171,0.01990632318501171,0.017561465127947817,0.027094831911690917,0.0095333667837431,428,303,252,176,51,0.5260960334029228,0.411214953271028,35,54,10,25,44,0.12658227848101267
42,IID_BALANCED,0.02,B0_STRUCT_XGB,T0_E2E,0.01990632318501171,0.01990632318501171,0.021739130434782608,0.02835538752362949,0.006616257088846882,428,303,252,176,51,0.5260960334029228,0.411214953271028,23,30,9,14,21,0.20454545454545456
42,TEMPORAL,0.02,B0_STRUCT_XGB,T0_E2E,0.01990632318501171,0.01990632318501171,0.01625,0.0255,0.009249999999999998,1265,790,561,704,229,0.3755020080321285,0.5565217391304348,65,102,15,50,87,0.09868421052631579
42,DOMAIN_OOD,0.02,B0_STRUCT_XGB,T0_E2E,0.01990632318501171,0.01990632318501171,0.024883359253499222,0.03006739243131156,0.005184033177812339,776,466,322,454,144,0.35,0.5850515463917526,48,58,9,39,49,0.09278350515463918
42,TEMPLATE_OOD,0.02,B0_STRUCT_XGB,T0_E2E,0.01990632318501171,0.01990632318501171,0.01727166276346604,0.024882903981264637,0.007611241217798596,1135,708,500,635,208,0.37230081906180196,0.5594713656387665,59,85,14,45,71,0.1076923076923077
42,DOMAIN_TEMPLATE_OOD,0.02,B0_STRUCT_XGB,T0_E2E,0.01990632318501171,0.01990632318501171,0.023732470334412083,0.0296655879180151,0.005933117583603018,776,505,363,413,142,0.3954248366013072,0.5322164948453608,44,55,9,35,46,0.1
42,IID_ORIGINAL,0.005,B0_STRUCT_XGB,DAPT_E2E,0.00468384074941452,0.00468384074941452,0.004515805318615153,0.006021073758153537,0.0015052684395383846,557,497,377,180,120,0.5568685376661743,0.3231597845601436,9,12,4,5,8,0.23529411764705882
42,IID_BALANCED,0.005,B0_STRUCT_XGB,DAPT_E2E,0.00468384074941452,0.00468384074941452,0.006616257088846881,0.007561436672967864,0.0009451795841209833,557,497,377,180,120,0.5568685376661743,0.3231597845601436,7,8,4,3,4,0.36363636363636365
42,TEMPORAL,0.005,B0_STRUCT_XGB,DAPT_E2E,0.00468384074941452,0.00468384074941452,0.00275,0.00375,0.001,1879,1617,1100,779,517,0.4590984974958264,0.41458222458754657,11,15,3,8,12,0.13043478260869565
42,DOMAIN_OOD,0.005,B0_STRUCT_XGB,DAPT_E2E,0.00468384074941452,0.00468384074941452,0.002592016588906169,0.002073613271124935,-0.0005184033177812338,1129,969,670,459,299,0.469187675070028,0.4065544729849424,5,4,1,4,3,0.125
42,TEMPLATE_OOD,0.005,B0_STRUCT_XGB,DAPT_E2E,0.00468384074941452,0.00468384074941452,0.002927400468384075,0.0032201405152224825,0.0002927400468384074,1700,1409,985,715,424,0.4637476459510358,0.42058823529411765,10,11,3,7,8,0.16666666666666666
42,DOMAIN_TEMPLATE_OOD,0.005,B0_STRUCT_XGB,DAPT_E2E,0.00468384074941452,0.00468384074941452,0.002157497303128371,0.002157497303128371,0.0,1143,969,684,459,285,0.4789915966386555,0.4015748031496063,4,4,1,3,3,0.14285714285714285
