model,seed,seed_group,label_budget,scenario,n_test,prevalence_phish,average_precision,roc_auc
STRUCT_LOGREG,42,ORIGINAL5,0.1,IID_BALANCED,2116,0.5,0.866293033394528,0.8284954670687996
STRUCT_LOGREG,42,ORIGINAL5,0.1,TEMPORAL,8000,0.5,0.9333714290431999,0.9116457499999999
STRUCT_LOGREG,42,ORIGINAL5,0.1,DOMAIN_OOD,3858,0.5,0.9149626283440613,0.8922900876394535
STRUCT_LOGREG,42,ORIGINAL5,0.1,TEMPLATE_OOD,6832,0.5,0.9297011311866402,0.9085134221654263
STRUCT_LOGREG,42,ORIGINAL5,0.1,DOMAIN_TEMPLATE_OOD,3708,0.5,0.9078929304522674,0.8837307946083515
STRUCT_LOGREG,42,ORIGINAL5,0.25,IID_BALANCED,2116,0.5,0.8642241337486665,0.828926068731887
STRUCT_LOGREG,42,ORIGINAL5,0.25,TEMPORAL,8000,0.5,0.9342056212062034,0.9186540937500001
STRUCT_LOGREG,42,ORIGINAL5,0.25,DOMAIN_OOD,3858,0.5,0.9207356128201053,0.9063060579015388
STRUCT_LOGREG,42,ORIGINAL5,0.25,TEMPLATE_OOD,6832,0.5,0.9310498241243662,0.9166028083162853
STRUCT_LOGREG,42,ORIGINAL5,0.25,DOMAIN_TEMPLATE_OOD,3708,0.5,0.9129701767615355,0.897320467481023
STRUCT_LOGREG,42,ORIGINAL5,1.0,IID_BALANCED,2116,0.5,0.8766165339569267,0.8367108465164146
STRUCT_LOGREG,42,ORIGINAL5,1.0,TEMPORAL,8000,0.5,0.9438485707071556,0.9282473125
STRUCT_LOGREG,42,ORIGINAL5,1.0,DOMAIN_OOD,3858,0.5,0.9315468255930804,0.9160369369754324
STRUCT_LOGREG,42,ORIGINAL5,1.0,TEMPLATE_OOD,6832,0.5,0.9423182047532979,0.9270411419741238
STRUCT_LOGREG,42,ORIGINAL5,1.0,DOMAIN_TEMPLATE_OOD,3708,0.5,0.9245094554852837,0.9072601995277713
STRUCT_LOGREG,52,ORIGINAL5,0.1,IID_BALANCED,2116,0.5,0.8421292033432942,0.8038618358282026
STRUCT_LOGREG,52,ORIGINAL5,0.1,TEMPORAL,8000,0.5,0.9284310446892328,0.91396021875
STRUCT_LOGREG,52,ORIGINAL5,0.1,DOMAIN_OOD,3858,0.5,0.9230928853774711,0.9090532729953795
STRUCT_LOGREG,52,ORIGINAL5,0.1,TEMPLATE_OOD,6832,0.5,0.9249106268153484,0.9114267255208991
STRUCT_LOGREG,52,ORIGINAL5,0.1,DOMAIN_TEMPLATE_OOD,3708,0.5,0.9138886407778537,0.8972798834904909
STRUCT_LOGREG,52,ORIGINAL5,0.25,IID_BALANCED,2116,0.5,0.8618658640214121,0.8246745473322351
STRUCT_LOGREG,52,ORIGINAL5,0.25,TEMPORAL,8000,0.5,0.9364102997002299,0.9199470625000001
STRUCT_LOGREG,52,ORIGINAL5,0.25,DOMAIN_OOD,3858,0.5,0.923109627584594,0.9069932311952488
STRUCT_LOGREG,52,ORIGINAL5,0.25,TEMPLATE_OOD,6832,0.5,0.9331754440284621,0.9180302159831951
STRUCT_LOGREG,52,ORIGINAL5,0.25,DOMAIN_TEMPLATE_OOD,3708,0.5,0.9146951171843775,0.8970886005243626
STRUCT_LOGREG,52,ORIGINAL5,1.0,IID_BALANCED,2116,0.5,0.8766165339569267,0.8367108465164146
STRUCT_LOGREG,52,ORIGINAL5,1.0,TEMPORAL,8000,0.5,0.9438485707071556,0.9282473125
STRUCT_LOGREG,52,ORIGINAL5,1.0,DOMAIN_OOD,3858,0.5,0.9315468255930804,0.9160369369754324
STRUCT_LOGREG,52,ORIGINAL5,1.0,TEMPLATE_OOD,6832,0.5,0.9423182047532979,0.9270411419741238
STRUCT_LOGREG,52,ORIGINAL5,1.0,DOMAIN_TEMPLATE_OOD,3708,0.5,0.9245094554852837,0.9072601995277713
STRUCT_LOGREG,62,ORIGINAL5,0.1,IID_BALANCED,2116,0.5,0.8672250044054233,0.823370235240726
STRUCT_LOGREG,62,ORIGINAL5,0.1,TEMPORAL,8000,0.5,0.9408359798905911,0.9211485625
STRUCT_LOGREG,62,ORIGINAL5,0.1,DOMAIN_OOD,3858,0.5,0.9216614201898515,0.9016466091075052
STRUCT_LOGREG,62,ORIGINAL5,0.1,TEMPLATE_OOD,6832,0.5,0.9381259215497925,0.9194677787132052
STRUCT_LOGREG,62,ORIGINAL5,0.1,DOMAIN_TEMPLATE_OOD,3708,0.5,0.9158299406033177,0.8949046290768726
