feature_space,classifier,strategy,label_budget,scenario,target_fpr,recall_mean,recall_std,empirical_fpr_mean,average_precision_mean,f1_mean
BASE,LOGREG,RANDOM,0.1,DOMAIN_OOD,0.005,0.2381544841886988,0.08496551480674819,0.00611715914981852,0.8906005304589971,0.37588164505507754
BASE,LOGREG,RANDOM,0.1,DOMAIN_OOD,0.01,0.299585277345775,0.06990074931504475,0.00907205806117154,0.8906005304589971,0.4536798658675837
BASE,LOGREG,RANDOM,0.1,DOMAIN_OOD,0.02,0.447071021254536,0.04977703750323871,0.025090720580611646,0.8906005304589971,0.6058538508216171
BASE,LOGREG,RANDOM,0.1,DOMAIN_TEMPLATE_OOD,0.005,0.2320388349514563,0.08570407411210716,0.0061488673139158,0.8819683778698654,0.3676788091022586
BASE,LOGREG,RANDOM,0.1,DOMAIN_TEMPLATE_OOD,0.01,0.29239482200647243,0.07135090819843246,0.00889967637540448,0.8819683778698654,0.44497037150187335
BASE,LOGREG,RANDOM,0.1,DOMAIN_TEMPLATE_OOD,0.02,0.4316073354908306,0.04917997632037988,0.025188781014023682,0.8819683778698654,0.5910131358652883
BASE,LOGREG,RANDOM,0.1,IID_BALANCED,0.005,0.26228733459357273,0.07683489062619071,0.00519848771266536,0.9052918594691318,0.40838465025879084
BASE,LOGREG,RANDOM,0.1,IID_BALANCED,0.01,0.3217391304347826,0.06735976888929114,0.00784499054820412,0.9052918594691318,0.48034008513979565
BASE,LOGREG,RANDOM,0.1,IID_BALANCED,0.02,0.4695652173913044,0.0652285011647643,0.02192816635160676,0.9052918594691318,0.6271576623211097
BASE,LOGREG,RANDOM,0.1,IID_ORIGINAL,0.005,0.26228733459357273,0.07683489062619071,0.00521826392373301,0.8495278008015393,0.40684480022962094
BASE,LOGREG,RANDOM,0.1,IID_ORIGINAL,0.01,0.3217391304347826,0.06735976888929114,0.00782739588559956,0.8495278008015393,0.47784537014829886
BASE,LOGREG,RANDOM,0.1,IID_ORIGINAL,0.02,0.4695652173913044,0.0652285011647643,0.021525338685398847,0.8495278008015393,0.6194212415393051
BASE,LOGREG,RANDOM,0.1,TEMPLATE_OOD,0.005,0.28187939110070254,0.09147609405111916,0.0048887587822013506,0.9134919489197776,0.4308045685163302
BASE,LOGREG,RANDOM,0.1,TEMPLATE_OOD,0.01,0.3496779859484777,0.07679159750656493,0.00740632318501166,0.9134919489197776,0.5107343577423565
BASE,LOGREG,RANDOM,0.1,TEMPLATE_OOD,0.02,0.5019906323185012,0.05531036363597141,0.02014051522248239,0.9134919489197776,0.6579111005370056
BASE,LOGREG,RANDOM,0.1,TEMPORAL,0.005,0.28650000000000003,0.08780597296818077,0.004775,0.9188693602094335,0.437073045897632
BASE,LOGREG,RANDOM,0.1,TEMPORAL,0.01,0.35395,0.07334079507492555,0.0072,0.9188693602094335,0.5159233884590234
BASE,LOGREG,RANDOM,0.1,TEMPORAL,0.02,0.5082,0.05263168669579616,0.019225,0.9188693602094335,0.6639397636587813
BASE,LOGREG,RANDOM,0.15,DOMAIN_OOD,0.005,0.22814930015552096,0.07706249325871474,0.0050285121824779205,0.8945068857056574,0.364317623991861
BASE,LOGREG,RANDOM,0.15,DOMAIN_OOD,0.01,0.3273716951788491,0.07463457605176774,0.01150855365474334,0.8945068857056574,0.4845601196833716
BASE,LOGREG,RANDOM,0.15,DOMAIN_OOD,0.02,0.45127008812856395,0.06028270044566689,0.02400207361327106,0.8945068857056574,0.6096921222496254
BASE,LOGREG,RANDOM,0.15,DOMAIN_TEMPLATE_OOD,0.005,0.22038834951456304,0.07926221488997291,0.00507011866235162,0.8859545663273171,0.35353080938797754
BASE,LOGREG,RANDOM,0.15,DOMAIN_TEMPLATE_OOD,0.01,0.31558791801510244,0.07537334587050791,0.01154261057173674,0.8859545663273171,0.4708903342403367
BASE,LOGREG,RANDOM,0.15,DOMAIN_TEMPLATE_OOD,0.02,0.4329557713052859,0.05869360395879544,0.02389428263214666,0.8859545663273171,0.592300464653884
BASE,LOGREG,RANDOM,0.15,IID_BALANCED,0.005,0.23809073724007557,0.057333017732429464,0.0039697542533080905,0.9102024751843174,0.38033773515135255
BASE,LOGREG,RANDOM,0.15,IID_BALANCED,0.01,0.34546313799621925,0.05545635316334958,0.00812854442344039,0.9102024751843174,0.5080976498687015
BASE,LOGREG,RANDOM,0.15,IID_BALANCED,0.02,0.48081285444234406,0.05866555057314036,0.018998109640831713,0.9102024751843174,0.63919725543486
BASE,LOGREG,RANDOM,0.15,IID_ORIGINAL,0.005,0.23809073724007557,0.057333017732429464,0.00441545408931254,0.8577619867339374,0.3789573169666556
BASE,LOGREG,RANDOM,0.15,IID_ORIGINAL,0.01,0.34546313799621925,0.05545635316334958,0.00847967887606619,0.8577619867339374,0.5051484324473807
BASE,LOGREG,RANDOM,0.15,IID_ORIGINAL,0.02,0.48081285444234406,0.05866555057314036,0.018966382338183603,0.8577619867339374,0.6321239823807235
BASE,LOGREG,RANDOM,0.15,TEMPLATE_OOD,0.005,0.27625878220140515,0.08075087372604849,0.00421545667447301,0.9167720094275777,0.425993340180724
BASE,LOGREG,RANDOM,0.15,TEMPLATE_OOD,0.01,0.38103044496487115,0.0700766111128477,0.00927985948477746,0.9167720094275777,0.5447287687956945
BASE,LOGREG,RANDOM,0.15,TEMPLATE_OOD,0.02,0.5056498829039813,0.06099024974329035,0.01981850117096015,0.9167720094275777,0.6609782640132857
BASE,LOGREG,RANDOM,0.15,TEMPORAL,0.005,0.28235,0.07733514724884152,0.0036999999999999997,0.9224571610266032,0.43414001171038025
BASE,LOGREG,RANDOM,0.15,TEMPORAL,0.01,0.38695,0.06973230560109457,0.0086,0.9224571610266032,0.5512340717541363
BASE,LOGREG,RANDOM,0.15,TEMPORAL,0.02,0.5131249999999999,0.06312578382351647,0.01875,0.9224571610266032,0.6678523765066783
BASE,LOGREG,RANDOM,0.2,DOMAIN_OOD,0.005,0.25712804561949193,0.057532648400160695,0.0051840331778123,0.9013796004126677,0.40433658512083975
BASE,LOGREG,RANDOM,0.2,DOMAIN_OOD,0.01,0.3332814930015552,0.06632657062938384,0.009072058061171551,0.9013796004126677,0.4931969137408042
BASE,LOGREG,RANDOM,0.2,DOMAIN_OOD,0.02,0.47511664074650073,0.0718961631547485,0.02187662001036802,0.9013796004126677,0.6316969865281246
BASE,LOGREG,RANDOM,0.2,DOMAIN_TEMPLATE_OOD,0.005,0.24617044228694712,0.05916433451806666,0.005124056094929831,0.8936640544202901,0.39014890736602165
BASE,LOGREG,RANDOM,0.2,DOMAIN_TEMPLATE_OOD,0.01,0.3209277238403451,0.06516987175694816,0.00889967637540448,0.8936640544202901,0.4793302152453324
BASE,LOGREG,RANDOM,0.2,DOMAIN_TEMPLATE_OOD,0.02,0.4536677454153182,0.07038758028771569,0.02168284789644008,0.8936640544202901,0.6119191000399511
BASE,LOGREG,RANDOM,0.2,IID_BALANCED,0.005,0.26965973534971643,0.056352664040867945,0.0038752362948959902,0.9128733570547686,0.42073482699998205
BASE,LOGREG,RANDOM,0.2,IID_BALANCED,0.01,0.3485822306238185,0.05182863997866691,0.00718336483931942,0.9128733570547686,0.5122589680172158
BASE,LOGREG,RANDOM,0.2,IID_BALANCED,0.02,0.4919659735349716,0.04057122123125663,0.02003780718336479,0.9128733570547686,0.6498367046933531
BASE,LOGREG,RANDOM,0.2,IID_ORIGINAL,0.005,0.26965973534971643,0.056352664040867945,0.00406422478675358,0.8623894422718695,0.41947281921946233
BASE,LOGREG,RANDOM,0.2,IID_ORIGINAL,0.01,0.3485822306238185,0.05182863997866691,0.00762669342699446,0.8623894422718695,0.5095431504701986
BASE,LOGREG,RANDOM,0.2,IID_ORIGINAL,0.02,0.4919659735349716,0.04057122123125663,0.01886603110888104,0.8623894422718695,0.6432133799651666
BASE,LOGREG,RANDOM,0.2,TEMPLATE_OOD,0.005,0.30857728337236534,0.06229281514709863,0.00433255269320838,0.922790867538772,0.4669508065766701
BASE,LOGREG,RANDOM,0.2,TEMPLATE_OOD,0.01,0.3917740046838407,0.06166857037094961,0.0074063231850116495,0.922790867538772,0.5575272823479553
BASE,LOGREG,RANDOM,0.2,TEMPLATE_OOD,0.02,0.5284543325526931,0.059664542299665585,0.01768149882903976,0.922790867538772,0.6817326145307477
BASE,LOGREG,RANDOM,0.2,TEMPORAL,0.005,0.31415000000000004,0.05935219737577821,0.00385,0.9280967041112911,0.47391981887371476
BASE,LOGREG,RANDOM,0.2,TEMPORAL,0.01,0.396,0.061214218573429124,0.006825,0.9280967041112911,0.562148331890624
BASE,LOGREG,RANDOM,0.2,TEMPORAL,0.02,0.535325,0.06098042149375122,0.01695,0.9280967041112911,0.6878203352078914
BASE,LOGREG,RANDOM,0.25,DOMAIN_OOD,0.005,0.2547952306894764,0.0747113530044504,0.00575427682737165,0.902253346613662,0.3991877246135438
