model,strategy,seed,seed_group,label_budget,n_labeled,labeled_benign,labeled_phish,scenario,target_fpr,threshold,calibration_empirical_fpr,recall,empirical_fpr,precision,f1,average_precision,roc_auc,fit_seconds
T0_E2E,RANDOM_GLOBAL,42,ORIGINAL5,0.25,1000,501,499,IID_ORIGINAL,0.005,0.998914122581482,0.00468384074941452,0.4924385633270321,0.004515805318615153,0.9830188679245283,0.6561712846347607,0.8661195425205894,0.8674249286491379,70.15994728699991
T0_E2E,RANDOM_GLOBAL,42,ORIGINAL5,0.25,1000,501,499,IID_BALANCED,0.005,0.998914122581482,0.00468384074941452,0.4924385633270321,0.002835538752362949,0.9942748091603053,0.6586599241466498,0.9117963515887739,0.8696393666403421,70.15994728699991
T0_E2E,RANDOM_GLOBAL,42,ORIGINAL5,0.25,1000,501,499,TEMPORAL,0.005,0.998914122581482,0.00468384074941452,0.46275,0.0025,0.9946265448683503,0.6316328271626003,0.9576023059584362,0.94739475,70.15994728699991
T0_E2E,RANDOM_GLOBAL,42,ORIGINAL5,0.25,1000,501,499,DOMAIN_OOD,0.005,0.998914122581482,0.00468384074941452,0.3203732503888025,0.00414722654224987,0.987220447284345,0.4837573385518591,0.9426210998130063,0.9360880463289708,70.15994728699991
T0_E2E,RANDOM_GLOBAL,42,ORIGINAL5,0.25,1000,501,499,TEMPLATE_OOD,0.005,0.998914122581482,0.00468384074941452,0.45433255269320844,0.00234192037470726,0.9948717948717949,0.6237942122186495,0.956677666579923,0.9465770410219987,70.15994728699991
T0_E2E,RANDOM_GLOBAL,42,ORIGINAL5,0.25,1000,501,499,DOMAIN_TEMPLATE_OOD,0.005,0.998914122581482,0.00468384074941452,0.3074433656957929,0.003236245954692557,0.9895833333333334,0.4691358024691358,0.9368459440212938,0.9289438329208022,70.15994728699991
T0_E2E,RANDOM_GLOBAL,42,ORIGINAL5,0.25,1000,501,499,IID_ORIGINAL,0.01,0.9983927607536317,0.00936768149882904,0.552930056710775,0.010536879076768691,0.9653465346534653,0.703125,0.8661195425205894,0.8674249286491379,70.15994728699991
T0_E2E,RANDOM_GLOBAL,42,ORIGINAL5,0.25,1000,501,499,IID_BALANCED,0.01,0.9983927607536317,0.00936768149882904,0.552930056710775,0.005671077504725898,0.9898477157360406,0.7095209217707702,0.9117963515887739,0.8696393666403421,70.15994728699991
T0_E2E,RANDOM_GLOBAL,42,ORIGINAL5,0.25,1000,501,499,TEMPORAL,0.01,0.9983927607536317,0.00936768149882904,0.5435,0.005,0.9908842297174111,0.7019696480464966,0.9576023059584362,0.94739475,70.15994728699991
T0_E2E,RANDOM_GLOBAL,42,ORIGINAL5,0.25,1000,501,499,DOMAIN_OOD,0.01,0.9983927607536317,0.00936768149882904,0.4048729911871436,0.005184033177812338,0.9873577749683944,0.5742647058823529,0.9426210998130063,0.9360880463289708,70.15994728699991
T0_E2E,RANDOM_GLOBAL,42,ORIGINAL5,0.25,1000,501,499,TEMPLATE_OOD,0.01,0.9983927607536317,0.00936768149882904,0.5283957845433255,0.004391100702576112,0.9917582417582418,0.6894576012223071,0.956677666579923,0.9465770410219987,70.15994728699991
