model,seed,seed_group,label_budget,scenario,n_test,prevalence_phish,average_precision,roc_auc
STRUCT_LOGREG,42,ORIGINAL5,0.1,IID_BALANCED,2116,0.5,0.866293033394528,0.8284954670687996
STRUCT_LOGREG,42,ORIGINAL5,0.1,TEMPORAL,2116,0.5,0.9273172070610457,0.9031441068320939
STRUCT_LOGREG,42,ORIGINAL5,0.1,DOMAIN_OOD,2116,0.5,0.9194910921375443,0.8981761071465583
STRUCT_LOGREG,42,ORIGINAL5,0.1,TEMPLATE_OOD,2116,0.5,0.9279509884692403,0.9032968721524008
STRUCT_LOGREG,42,ORIGINAL5,0.1,DOMAIN_TEMPLATE_OOD,2116,0.5,0.9044969960157789,0.8787516839919813
STRUCT_LOGREG,42,ORIGINAL5,0.25,IID_BALANCED,2116,0.5,0.8642241337486665,0.828926068731887
STRUCT_LOGREG,42,ORIGINAL5,0.25,TEMPORAL,2116,0.5,0.9311463052338249,0.9126950661268363
STRUCT_LOGREG,42,ORIGINAL5,0.25,DOMAIN_OOD,2116,0.5,0.9241148291753483,0.911124531430348
STRUCT_LOGREG,42,ORIGINAL5,0.25,TEMPLATE_OOD,2116,0.5,0.927284601913866,0.9083140068824798
STRUCT_LOGREG,42,ORIGINAL5,0.25,DOMAIN_TEMPLATE_OOD,2116,0.5,0.9151582611658649,0.8998386583810092
STRUCT_LOGREG,42,ORIGINAL5,1.0,IID_BALANCED,2116,0.5,0.8766165339569267,0.8367108465164146
STRUCT_LOGREG,42,ORIGINAL5,1.0,TEMPORAL,2116,0.5,0.9404128749183183,0.9210113957568762
STRUCT_LOGREG,42,ORIGINAL5,1.0,DOMAIN_OOD,2116,0.5,0.9353153588775116,0.9223818168174069
STRUCT_LOGREG,42,ORIGINAL5,1.0,TEMPLATE_OOD,2116,0.5,0.9386783215878096,0.9192595080778012
STRUCT_LOGREG,42,ORIGINAL5,1.0,DOMAIN_TEMPLATE_OOD,2116,0.5,0.9255713596003738,0.909469127111467
STRUCT_LOGREG,52,ORIGINAL5,0.1,IID_BALANCED,2116,0.5,0.8421292033432942,0.8038618358282026
STRUCT_LOGREG,52,ORIGINAL5,0.1,TEMPORAL,2116,0.5,0.9231356737444746,0.9079834620373712
STRUCT_LOGREG,52,ORIGINAL5,0.1,DOMAIN_OOD,2116,0.5,0.9276631161223962,0.9169689216376442
STRUCT_LOGREG,52,ORIGINAL5,0.1,TEMPLATE_OOD,2116,0.5,0.9184171232609247,0.9025410858308827
STRUCT_LOGREG,52,ORIGINAL5,0.1,DOMAIN_TEMPLATE_OOD,2116,0.5,0.9140003130539027,0.898380687604747
STRUCT_LOGREG,52,ORIGINAL5,0.25,IID_BALANCED,2116,0.5,0.8618658640214121,0.8246745473322351
STRUCT_LOGREG,52,ORIGINAL5,0.25,TEMPORAL,2116,0.5,0.9291231894167531,0.9091725301153155
STRUCT_LOGREG,52,ORIGINAL5,0.25,DOMAIN_OOD,2116,0.5,0.9280436273254441,0.9141441032586362
STRUCT_LOGREG,52,ORIGINAL5,0.25,TEMPLATE_OOD,2116,0.5,0.9291311474560018,0.9100480272726299
STRUCT_LOGREG,52,ORIGINAL5,0.25,DOMAIN_TEMPLATE_OOD,2116,0.5,0.9156505767060389,0.897663315954417
STRUCT_LOGREG,52,ORIGINAL5,1.0,IID_BALANCED,2116,0.5,0.8766165339569267,0.8367108465164146
STRUCT_LOGREG,52,ORIGINAL5,1.0,TEMPORAL,2116,0.5,0.9404128749183183,0.9210113957568762
STRUCT_LOGREG,52,ORIGINAL5,1.0,DOMAIN_OOD,2116,0.5,0.9353153588775116,0.9223818168174069
STRUCT_LOGREG,52,ORIGINAL5,1.0,TEMPLATE_OOD,2116,0.5,0.9386783215878096,0.9192595080778012
STRUCT_LOGREG,52,ORIGINAL5,1.0,DOMAIN_TEMPLATE_OOD,2116,0.5,0.9255713596003738,0.909469127111467
STRUCT_LOGREG,62,ORIGINAL5,0.1,IID_BALANCED,2116,0.5,0.8672250044054233,0.823370235240726
STRUCT_LOGREG,62,ORIGINAL5,0.1,TEMPORAL,2116,0.5,0.936062694045653,0.9133749164704242
STRUCT_LOGREG,62,ORIGINAL5,0.1,DOMAIN_OOD,2116,0.5,0.9254047971107608,0.9075296328986817
STRUCT_LOGREG,62,ORIGINAL5,0.1,TEMPLATE_OOD,2116,0.5,0.9376584904331562,0.9141458899875287
STRUCT_LOGREG,62,ORIGINAL5,0.1,DOMAIN_TEMPLATE_OOD,2116,0.5,0.9162431706455622,0.896067767053434
STRUCT_LOGREG,62,ORIGINAL5,0.25,IID_BALANCED,2116,0.5,0.8636894957108723,0.8207365968532132
STRUCT_LOGREG,62,ORIGINAL5,0.25,TEMPORAL,2116,0.5,0.9376334670525661,0.917733641603625
STRUCT_LOGREG,62,ORIGINAL5,0.25,DOMAIN_OOD,2116,0.5,0.927405221257298,0.9115703202890213
STRUCT_LOGREG,62,ORIGINAL5,0.25,TEMPLATE_OOD,2116,0.5,0.9341289733812304,0.9117480998138228
STRUCT_LOGREG,62,ORIGINAL5,0.25,DOMAIN_TEMPLATE_OOD,2116,0.5,0.9189071132658299,0.90090265543648
STRUCT_LOGREG,62,ORIGINAL5,1.0,IID_BALANCED,2116,0.5,0.8766165339569267,0.8367108465164146
STRUCT_LOGREG,62,ORIGINAL5,1.0,TEMPORAL,2116,0.5,0.9404128749183183,0.9210113957568762
STRUCT_LOGREG,62,ORIGINAL5,1.0,DOMAIN_OOD,2116,0.5,0.9353153588775116,0.9223818168174069
STRUCT_LOGREG,62,ORIGINAL5,1.0,TEMPLATE_OOD,2116,0.5,0.9386783215878096,0.9192595080778012
STRUCT_LOGREG,62,ORIGINAL5,1.0,DOMAIN_TEMPLATE_OOD,2116,0.5,0.9255713596003738,0.909469127111467
STRUCT_LOGREG,72,ORIGINAL5,0.1,IID_BALANCED,2116,0.5,0.8783774450455701,0.8394400748996752
STRUCT_LOGREG,72,ORIGINAL5,0.1,TEMPORAL,2116,0.5,0.9396185087847438,0.9215161466690012
STRUCT_LOGREG,72,ORIGINAL5,0.1,DOMAIN_OOD,2116,0.5,0.9344622889193701,0.9199893868303786
