contrast,scenario,metric,n_seeds,mean_difference,sd_difference,ci95_low,ci95_high,exact_signflip_p_two_sided,cohen_dz,wins,ties,losses
DAPT_minus_T0_same_AL_selected_labels,TEMPORAL,direct_recall,10,0.04675,0.0904511838875902,-0.0179548790488089,0.1114548790488089,0.1328125,0.51685337870314,7,0,3
DAPT_minus_T0_same_AL_selected_labels,TEMPORAL,direct_fpr,10,-0.000125,0.0018568566629297,-0.0014533152372572,0.0012033152372572,0.890625,-0.06731806632978,4,2,4
DAPT_minus_T0_same_AL_selected_labels,TEMPORAL,direct_ap,10,-0.00052340902313,0.0044539690937088,-0.0037095865733732,0.0026627685271131,0.755859375,-0.1175151897370278,5,0,5
DAPT_minus_T0_same_AL_selected_labels,TEMPORAL,assisted_recall,10,0.002625,0.0039830369485272,-0.0002242929879356,0.0054742929879357,0.06640625,0.6590448529408254,9,0,1
DAPT_minus_T0_same_AL_selected_labels,TEMPORAL,review_precision,10,0.0094019907142039,0.0144712311125485,-0.0009501044003109,0.0197540858287188,0.068359375,0.6497022016358474,9,0,1
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_OOD,direct_recall,10,0.0608087091757387,0.1099118410627949,-0.0178174853784244,0.1394349037299019,0.11328125,0.5532498463108944,7,0,3
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_OOD,direct_fpr,10,-0.0004147226542249,0.0025723579147645,-0.0022548766532256,0.0014254313447756,0.671875,-0.1612227644701377,2,3,5
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_OOD,direct_ap,10,0.0006085837055826,0.0042603019994726,-0.002439052751336,0.0036562201625013,0.66796875,0.1428498978846954,6,0,4
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_OOD,assisted_recall,10,0.0038880248833592,0.0052141856815671,0.0001580211469446,0.0076180286197738,0.05078125,0.7456629128310323,8,0,2
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_OOD,review_precision,10,0.0133626575636112,0.0182041241759702,0.0003402116168615,0.0263851035103608,0.048828125,0.7340456170503468,8,0,2
DAPT_minus_T0_same_AL_selected_labels,TEMPLATE_OOD,direct_recall,10,0.0477459016393442,0.0899507223977758,-0.0166009688265447,0.1120927721052332,0.130859375,0.5308006469164813,7,0,3
DAPT_minus_T0_same_AL_selected_labels,TEMPLATE_OOD,direct_fpr,10,-0.0002341920374707,0.0017607718296081,-0.0014937723256506,0.0010253882507091,0.73828125,-0.1330053295564418,4,1,5
DAPT_minus_T0_same_AL_selected_labels,TEMPLATE_OOD,direct_ap,10,-0.0004478942351907,0.0039000406390637,-0.0032378152399801,0.0023420267695987,0.791015625,-0.1148434789895509,5,0,5
DAPT_minus_T0_same_AL_selected_labels,TEMPLATE_OOD,assisted_recall,10,0.003103044496487,0.0038914734053441,0.0003192521215042,0.0058868368714699,0.037109375,0.7973957864457535,8,0,2
DAPT_minus_T0_same_AL_selected_labels,TEMPLATE_OOD,review_precision,10,0.0110455632699467,0.0140890725475431,0.000966847924091,0.0211242786158024,0.041015625,0.7839808640827036,8,0,2
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_TEMPLATE_OOD,direct_recall,10,0.0547464940668824,0.1084854022075819,-0.022859287601234,0.1323522757349989,0.142578125,0.504643877912048,7,0,3
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_TEMPLATE_OOD,direct_fpr,10,-0.0003236245954692,0.0021902110511098,-0.0018904071964526,0.0012431580055141,0.703125,-0.1477595482432017,3,2,5
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_TEMPLATE_OOD,direct_ap,10,0.0007007828570472,0.0044660346334362,-0.0024940258603644,0.0038955915744589,0.658203125,0.1569138877250649,8,0,2
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_TEMPLATE_OOD,assisted_recall,10,0.00361380798274,0.0058206351277945,-0.0005500235531661,0.0077776395186461,0.087890625,0.6208614529853412,7,0,3
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_TEMPLATE_OOD,review_precision,10,0.0120748177783979,0.020198642985713,-0.0023744209730247,0.0265240565298207,0.095703125,0.5978034161472512,7,0,3
