stage1_model,label_budget,scenario,target_fpr,ranker,review_fraction_of_stage1_negatives,stage1_recall_mean,stage1_fpr_mean,review_precision_mean,capture_rate_mean,assisted_recall_mean,recall_gain_pp_mean
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,BASE_LOGREG,0.05,0.35909797822706063,0.0066355624675997925,0.9672802343294382,0.12427389428815716,0.4384655261793675,7.936754795230689
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,BASE_LOGREG,0.1,0.35909797822706063,0.0066355624675997925,0.950253363302353,0.24348888402539232,0.5146708138932089,15.557283566614824
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,BASE_LOGREG,0.2,0.35909797822706063,0.0066355624675997925,0.887763067299883,0.45400071460435687,0.6495593571798859,29.046137895282534
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,BASE_MLP,0.05,0.35909797822706063,0.0066355624675997925,0.8594584015562585,0.11069067640057988,0.42949714878175216,7.0399170554691555
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,BASE_MLP,0.1,0.35909797822706063,0.0066355624675997925,0.8642863224432785,0.2217615326994419,0.5004665629860031,14.136858475894247
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,BASE_MLP,0.2,0.35909797822706063,0.0066355624675997925,0.825926822178223,0.4225755198941975,0.6292379471228615,27.013996889580095
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,CONTRASTIVE_LOGREG,0.05,0.35909797822706063,0.0066355624675997925,0.8791116525233237,0.11286595385133755,0.43125972006220836,7.2161741835147755
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,CONTRASTIVE_LOGREG,0.1,0.35909797822706063,0.0066355624675997925,0.8503351332103005,0.2176739784608442,0.49839294971487813,13.929497148781753
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,CONTRASTIVE_LOGREG,0.2,0.35909797822706063,0.0066355624675997925,0.786843998107062,0.4021741916414395,0.6166407465007776,25.754276827371694
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,CONTRASTIVE_MLP,0.05,0.35909797822706063,0.0066355624675997925,0.8365390040192431,0.10723798984049457,0.42783825816485227,6.874027993779161
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,CONTRASTIVE_MLP,0.1,0.35909797822706063,0.0066355624675997925,0.824996448386463,0.21093272288364062,0.49434940383618453,13.525142560912391
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,CONTRASTIVE_MLP,0.2,0.35909797822706063,0.0066355624675997925,0.7655088175522127,0.390791684421979,0.6098496630378435,25.07516848107828
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,CONTRASTIVE_XGBOOST,0.05,0.35909797822706063,0.0066355624675997925,0.8650381275910044,0.11103367871270046,0.4301192327630897,7.102125453602904
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,CONTRASTIVE_XGBOOST,0.1,0.35909797822706063,0.0066355624675997925,0.8380614076771264,0.2145809525354378,0.49637117677553133,13.727319854847071
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,CONTRASTIVE_XGBOOST,0.2,0.35909797822706063,0.0066355624675997925,0.7686041377324498,0.3928206688189906,0.6106791083462934,25.158113011923277
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,DAPT_E2E,0.05,0.35909797822706063,0.0066355624675997925,0.9726798388205324,0.12490448387449607,0.43893208916537063,7.983411093831
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,DAPT_E2E,0.1,0.35909797822706063,0.0066355624675997925,0.9555272243887416,0.2447898649658647,0.5155520995334371,15.645412130637638
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,DAPT_E2E,0.2,0.35909797822706063,0.0066355624675997925,0.9125326984505084,0.4669747567617383,0.6575427682737169,29.84447900466563
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,DAPT_LOGREG,0.05,0.35909797822706063,0.0066355624675997925,0.954979209857172,0.122628026068236,0.4374805598755832,7.838258164852256
