model,seed,label_budget,n_train,scenario,n_test,target_fpr,threshold,calibration_empirical_fpr,calibration_recall,fit_seconds,average_precision,roc_auc,precision,recall,f1,empirical_fpr,tp,fp,tn,fn,prevalence_phish
B0_STRUCT_XGB,42,0.25,1000,IID_ORIGINAL,3051,0.005,0.9628620147705079,0.00468384074941452,0.48123620309050774,0.2023011889996269,0.8679729576707144,0.8885764637478812,0.9823529411764705,0.4735349716446125,0.639030612244898,0.004515805318615153,501,9,1984,557,0.3467715503113733
B0_STRUCT_XGB,42,0.25,1000,IID_BALANCED,2116,0.005,0.9628620147705079,0.00468384074941452,0.48123620309050774,0.2023011889996269,0.9114686857079297,0.8891102447461237,0.9862204724409449,0.4735349716446125,0.6398467432950191,0.006616257088846881,501,7,1051,557,0.5
B0_STRUCT_XGB,42,0.25,1000,TEMPORAL,8000,0.005,0.9628620147705079,0.00468384074941452,0.48123620309050774,0.2023011889996269,0.958739163912511,0.9516834999999999,0.9948405253283302,0.53025,0.6917808219178082,0.00275,2121,11,3989,1879,0.5
B0_STRUCT_XGB,42,0.25,1000,DOMAIN_OOD,3858,0.005,0.9628620147705079,0.00468384074941452,0.48123620309050774,0.2023011889996269,0.935606752487386,0.9296723685656783,0.9937888198757764,0.41472265422498705,0.5852231163130943,0.002592016588906169,800,5,1924,1129,0.5
B0_STRUCT_XGB,42,0.25,1000,TEMPLATE_OOD,6832,0.005,0.9628620147705079,0.00468384074941452,0.48123620309050774,0.2023011889996269,0.954224095148117,0.947185359295559,0.9942062572421785,0.5023419203747073,0.6674445740956826,0.002927400468384075,1716,10,3406,1700,0.5
B0_STRUCT_XGB,42,0.25,1000,DOMAIN_TEMPLATE_OOD,3708,0.005,0.9628620147705079,0.00468384074941452,0.48123620309050774,0.2023011889996269,0.9311473990718969,0.924796265458282,0.9944055944055944,0.38349514563106796,0.5535227715064227,0.002157497303128371,711,4,1850,1143,0.5
B0_STRUCT_XGB,42,0.25,1000,IID_ORIGINAL,3051,0.01,0.9495797157287599,0.00936768149882904,0.5298013245033113,0.2023011889996269,0.8679729576707144,0.8885764637478812,0.9709618874773139,0.505671077504726,0.6650093225605966,0.008028098344204716,535,16,1977,523,0.3467715503113733
B0_STRUCT_XGB,42,0.25,1000,IID_BALANCED,2116,0.01,0.9495797157287599,0.00936768149882904,0.5298013245033113,0.2023011889996269,0.9114686857079297,0.8891102447461237,0.9762773722627737,0.505671077504726,0.6662515566625156,0.012287334593572778,535,13,1045,523,0.5
B0_STRUCT_XGB,42,0.25,1000,TEMPORAL,8000,0.01,0.9495797157287599,0.00936768149882904,0.5298013245033113,0.2023011889996269,0.958739163912511,0.9516834999999999,0.9920389208314905,0.56075,0.7164989618271842,0.0045,2243,18,3982,1757,0.5
B0_STRUCT_XGB,42,0.25,1000,DOMAIN_OOD,3858,0.01,0.9495797157287599,0.00936768149882904,0.5298013245033113,0.2023011889996269,0.935606752487386,0.9296723685656783,0.9875706214689266,0.45308449974079834,0.6211798152096659,0.005702436495593572,874,11,1918,1055,0.5
B0_STRUCT_XGB,42,0.25,1000,TEMPLATE_OOD,6832,0.01,0.9495797157287599,0.00936768149882904,0.5298013245033113,0.2023011889996269,0.954224095148117,0.947185359295559,0.9907958852192745,0.5357142857142857,0.6954208626258788,0.004976580796252928,1830,17,3399,1586,0.5
B0_STRUCT_XGB,42,0.25,1000,DOMAIN_TEMPLATE_OOD,3708,0.01,0.9495797157287599,0.00936768149882904,0.5298013245033113,0.2023011889996269,0.9311473990718969,0.924796265458282,0.9874055415617129,0.4228694714131607,0.5921450151057401,0.005393743257820928,784,10,1844,1070,0.5
B0_STRUCT_XGB,42,0.25,1000,IID_ORIGINAL,3051,0.02,0.8530669808387757,0.01990632318501171,0.6004415011037527,0.2023011889996269,0.8679729576707144,0.8885764637478812,0.9473684210526315,0.5954631379962193,0.7312826465467208,0.017561465127947817,630,35,1958,428,0.3467715503113733
B0_STRUCT_XGB,42,0.25,1000,IID_BALANCED,2116,0.02,0.8530669808387757,0.01990632318501171,0.6004415011037527,0.2023011889996269,0.9114686857079297,0.8891102447461237,0.9647779479326187,0.5954631379962193,0.7364114552893045,0.021739130434782608,630,23,1035,428,0.5
B0_STRUCT_XGB,42,0.25,1000,TEMPORAL,8000,0.02,0.8530669808387757,0.01990632318501171,0.6004415011037527,0.2023011889996269,0.958739163912511,0.9516834999999999,0.9767857142857143,0.68375,0.8044117647058824,0.01625,2735,65,3935,1265,0.5
B0_STRUCT_XGB,42,0.25,1000,DOMAIN_OOD,3858,0.02,0.8530669808387757,0.01990632318501171,0.6004415011037527,0.2023011889996269,0.935606752487386,0.9296723685656783,0.9600333055786844,0.5977190254017626,0.736741214057508,0.024883359253499222,1153,48,1881,776,0.5
B0_STRUCT_XGB,42,0.25,1000,TEMPLATE_OOD,6832,0.02,0.8530669808387757,0.01990632318501171,0.6004415011037527,0.2023011889996269,0.954224095148117,0.947185359295559,0.9747863247863248,0.6677400468384075,0.7925642807505212,0.01727166276346604,2281,59,3357,1135,0.5
B0_STRUCT_XGB,42,0.25,1000,DOMAIN_TEMPLATE_OOD,3708,0.02,0.8530669808387757,0.01990632318501171,0.6004415011037527,0.2023011889996269,0.9311473990718969,0.924796265458282,0.9607843137254902,0.5814455231930961,0.7244623655913979,0.023732470334412083,1078,44,1810,776,0.5
T0_E2E,42,0.25,1000,IID_ORIGINAL,3051,0.005,0.9969544410705568,0.00468384074941452,0.6445916114790287,73.43045957100003,0.8921115710976812,0.9015851320832745,0.9757207890743551,0.6077504725897921,0.7489807804309843,0.008028098344204716,643,16,1977,415,0.3467715503113733
T0_E2E,42,0.25,1000,IID_BALANCED,2116,0.005,0.9969544410705568,0.00468384074941452,0.6445916114790287,73.43045957100003,0.9274551164512228,0.9020881500566393,0.9846860643185299,0.6077504725897921,0.7516072472238458,0.00945179584120983,643,10,1048,415,0.5
T0_E2E,42,0.25,1000,TEMPORAL,8000,0.005,0.9969544410705568,0.00468384074941452,0.6445916114790287,73.43045957100003,0.9716616420506878,0.9659519375,0.9902402402402403,0.6595,0.7917166866746699,0.0065,2638,26,3974,1362,0.5
T0_E2E,42,0.25,1000,DOMAIN_OOD,3858,0.005,0.9969544410705568,0.00468384074941452,0.6445916114790287,73.43045957100003,0.9645501687117198,0.9591096953782557,0.989237668161435,0.5717988595127009,0.7247043363994744,0.006220839813374806,1103,12,1917,826,0.5
T0_E2E,42,0.25,1000,TEMPLATE_OOD,6832,0.005,0.9969544410705568,0.00468384074941452,0.6445916114790287,73.43045957100003,0.9712809829538936,0.9652282069774967,0.9919246298788694,0.647248243559719,0.783348095659876,0.005269320843091335,2211,18,3398,1205,0.5
T0_E2E,42,0.25,1000,DOMAIN_TEMPLATE_OOD,3708,0.005,0.9969544410705568,0.00468384074941452,0.6445916114790287,73.43045957100003,0.9607070732188739,0.9540824876153371,0.9902629016553067,0.5485436893203883,0.7060048594238112,0.005393743257820928,1017,10,1844,837,0.5
