scenario,target_fpr,ranker,review_fraction_of_stage1_negatives,stage1_empirical_fpr_mean,ranker_empirical_fpr_mean,stage1_recall_mean,review_precision_mean,rescued_stage1_fn_mean,capture_rate_of_stage1_fn_mean,review_assisted_recall_upper_bound_mean,potential_recall_gain_pp_mean,rescued_fn_lift_vs_self_mean,recall_upper_bound_lift_vs_self_pp_mean
DOMAIN_OOD,0.005,B0_SELF,0.05,0.005495075168481078,0.005495075168481078,0.41410057024364955,0.9389331638852522,143.6,0.1272885212797446,0.4885432866770348,7.444271643338517,0.0,0.0
DOMAIN_OOD,0.005,B0_SELF,0.1,0.005495075168481078,0.005495075168481078,0.41410057024364955,0.9198889227916803,281.0,0.24908038538348581,0.5597719025401762,14.567133229652672,0.0,0.0
DOMAIN_OOD,0.005,B0_SELF,0.2,0.005495075168481078,0.005495075168481078,0.41410057024364955,0.8502120175531841,519.6,0.4590048506280354,0.6834629341627786,26.936236391912907,0.0,0.0
DOMAIN_OOD,0.005,BASE_EMB_MLP,0.05,0.005495075168481078,0.006220839813374806,0.41410057024364955,0.9511981848713079,145.4,0.12906547238912433,0.48947641264904096,7.537584240539141,1.8,0.09331259720062324
DOMAIN_OOD,0.005,BASE_EMB_MLP,0.1,0.005495075168481078,0.006220839813374806,0.41410057024364955,0.9259156273359999,282.8,0.250769722104318,0.5607050285121825,14.660445826853291,1.8,0.09331259720062102
DOMAIN_OOD,0.005,BASE_EMB_MLP,0.2,0.005495075168481078,0.006220839813374806,0.41410057024364955,0.8680621757975511,530.0,0.46935723351540004,0.6888543286677035,27.475375842405395,10.4,0.5391394504924873
DOMAIN_OOD,0.005,CONTRASTIVE_EMB_MLP,0.05,0.005495075168481078,0.0066355624675997925,0.41410057024364955,0.9179698105313626,140.2,0.12471793507151963,0.4867807153965785,7.268014515292897,-3.4,-0.17625712804561933
DOMAIN_OOD,0.005,CONTRASTIVE_EMB_MLP,0.1,0.005495075168481078,0.0066355624675997925,0.41410057024364955,0.8920517721552189,272.2,0.2419712183114008,0.5552099533437014,14.110938310005185,-8.8,-0.4561949196474869
DOMAIN_OOD,0.005,CONTRASTIVE_EMB_MLP,0.2,0.005495075168481078,0.0066355624675997925,0.41410057024364955,0.8060832997272541,491.8,0.436362301211357,0.6690513219284604,25.49507516848108,-27.8,-1.441161223431826
DOMAIN_OOD,0.005,DAPT_E2E,0.05,0.005495075168481078,0.0034214618973561427,0.41410057024364955,0.9910133059077205,151.4,0.13458237773805024,0.4925868325557284,7.848626231207879,7.8,0.40435458786936335
DOMAIN_OOD,0.005,DAPT_E2E,0.1,0.005495075168481078,0.0034214618973561427,0.41410057024364955,0.9895351716450123,302.0,0.2683269139743258,0.5706583722135822,15.655780196993266,21.0,1.088646967340594
DOMAIN_OOD,0.005,DAPT_E2E,0.2,0.005495075168481078,0.0034214618973561427,0.41410057024364955,0.9626199327749475,587.2,0.5212391581620985,0.71850699844479,30.44064282011405,67.6,3.5044064282011433
DOMAIN_OOD,0.005,DAPT_EMB_MLP,0.05,0.005495075168481078,0.004561949196474858,0.41410057024364955,0.9593531867003732,146.6,0.13023082646697823,0.4900984966303784,7.599792638672888,3.0,0.15552099533437058
DOMAIN_OOD,0.005,DAPT_EMB_MLP,0.1,0.005495075168481078,0.004561949196474858,0.41410057024364955,0.9334840752396805,285.0,0.2529900728428648,0.5618455158113012,14.774494556765166,4.0,0.2073613271124941
