strategy,seed,seed_group,label_budget,n_labeled,labeled_benign,labeled_phish,scenario,target_fpr,review_fraction_of_stage1_negatives,review_n,review_fraction_of_all_cases,stage1_threshold,stage1_calibration_fpr,stage1_recall,stage1_empirical_fpr,stage1_precision,stage1_ap,dapt_threshold,dapt_calibration_fpr,dapt_recall,dapt_empirical_fpr,dapt_precision,dapt_f1,dapt_ap,dapt_auc,stage1_fn,rescued_stage1_fn,capture_rate_of_stage1_fn,review_precision,assisted_recall,assisted_recall_gain_pp,b0_fit_seconds,dapt_fit_seconds
RANDOM_GLOBAL,42,ORIGINAL5,0.1,400,200,200,IID_ORIGINAL,0.005,0.05,130,0.04260898066207801,0.9644840955734254,0.00468384074941452,0.43289224952741023,0.005017561465127948,0.9786324786324786,0.8550190762706763,0.9963924288749696,0.00468384074941452,0.3950850661625709,0.0015052684395383843,0.9928741092636579,0.5652467883705207,0.8320775318140265,0.8337411090043887,600,127,0.21166666666666667,0.9769230769230769,0.552930056710775,12.003780718336476,0.14386815699981526,28.439320703000703
RANDOM_GLOBAL,42,ORIGINAL5,0.1,400,200,200,IID_ORIGINAL,0.005,0.1,259,0.08489019993444773,0.9644840955734254,0.00468384074941452,0.43289224952741023,0.005017561465127948,0.9786324786324786,0.8550190762706763,0.9963924288749696,0.00468384074941452,0.3950850661625709,0.0015052684395383843,0.9928741092636579,0.5652467883705207,0.8320775318140265,0.8337411090043887,600,208,0.3466666666666667,0.803088803088803,0.6294896030245747,19.659735349716446,0.14386815699981526,28.439320703000703
RANDOM_GLOBAL,42,ORIGINAL5,0.1,400,200,200,IID_ORIGINAL,0.005,0.2,517,0.16945263847918715,0.9644840955734254,0.00468384074941452,0.43289224952741023,0.005017561465127948,0.9786324786324786,0.8550190762706763,0.9963924288749696,0.00468384074941452,0.3950850661625709,0.0015052684395383843,0.9928741092636579,0.5652467883705207,0.8320775318140265,0.8337411090043887,600,316,0.5266666666666666,0.6112185686653772,0.7315689981096408,29.867674858223058,0.14386815699981526,28.439320703000703
RANDOM_GLOBAL,42,ORIGINAL5,0.1,400,200,200,IID_BALANCED,0.005,0.05,83,0.039224952741020794,0.9644840955734254,0.00468384074941452,0.43289224952741023,0.007561436672967864,0.9828326180257511,0.9047245038175529,0.9963924288749696,0.00468384074941452,0.3950850661625709,0.002835538752362949,0.9928741092636579,0.5652467883705207,0.8814444980779572,0.8320363170514686,600,83,0.13833333333333334,1.0,0.5113421550094518,7.844990548204156,0.14386815699981526,28.439320703000703
RANDOM_GLOBAL,42,ORIGINAL5,0.1,400,200,200,IID_BALANCED,0.005,0.1,165,0.07797731568998109,0.9644840955734254,0.00468384074941452,0.43289224952741023,0.007561436672967864,0.9828326180257511,0.9047245038175529,0.9963924288749696,0.00468384074941452,0.3950850661625709,0.002835538752362949,0.9928741092636579,0.5652467883705207,0.8814444980779572,0.8320363170514686,600,154,0.25666666666666665,0.9333333333333333,0.5784499054820416,14.555765595463132,0.14386815699981526,28.439320703000703
RANDOM_GLOBAL,42,ORIGINAL5,0.1,400,200,200,IID_BALANCED,0.005,0.2,330,0.15595463137996218,0.9644840955734254,0.00468384074941452,0.43289224952741023,0.007561436672967864,0.9828326180257511,0.9047245038175529,0.9963924288749696,0.00468384074941452,0.3950850661625709,0.002835538752362949,0.9928741092636579,0.5652467883705207,0.8814444980779572,0.8320363170514686,600,262,0.43666666666666665,0.793939393939394,0.6805293005671077,24.763705103969748,0.14386815699981526,28.439320703000703
RANDOM_GLOBAL,42,ORIGINAL5,0.1,400,200,200,TEMPORAL,0.005,0.05,314,0.03925,0.9644840955734254,0.00468384074941452,0.42725,0.006,0.9861511829197923,0.9360874054575953,0.9963924288749696,0.00468384074941452,0.38325,0.002,0.9948085658663206,0.5533297238765565,0.93010382924371,0.9153752812499999,2291,310,0.13531209079004802,0.9872611464968153,0.50475,7.750000000000002,0.14386815699981526,28.439320703000703
RANDOM_GLOBAL,42,ORIGINAL5,0.1,400,200,200,TEMPORAL,0.005,0.1,627,0.078375,0.9644840955734254,0.00468384074941452,0.42725,0.006,0.9861511829197923,0.9360874054575953,0.9963924288749696,0.00468384074941452,0.38325,0.002,0.9948085658663206,0.5533297238765565,0.93010382924371,0.9153752812499999,2291,605,0.26407682234831953,0.9649122807017544,0.5785,15.125,0.14386815699981526,28.439320703000703
RANDOM_GLOBAL,42,ORIGINAL5,0.1,400,200,200,TEMPORAL,0.005,0.2,1254,0.15675,0.9644840955734254,0.00468384074941452,0.42725,0.006,0.9861511829197923,0.9360874054575953,0.9963924288749696,0.00468384074941452,0.38325,0.002,0.9948085658663206,0.5533297238765565,0.93010382924371,0.9153752812499999,2291,1071,0.4674814491488433,0.854066985645933,0.695,26.77499999999999,0.14386815699981526,28.439320703000703
RANDOM_GLOBAL,42,ORIGINAL5,0.1,400,200,200,DOMAIN_OOD,0.005,0.05,163,0.04224987039917055,0.9644840955734254,0.00468384074941452,0.30741316744427166,0.00829445308449974,0.9737274220032841,0.8961561438608364,0.9963924288749696,0.00468384074941452,0.24209434940383617,0.0015552099533437014,0.9936170212765958,0.3893288870362651,0.9101982699228054,0.9042732934143968,1336,160,0.11976047904191617,0.9815950920245399,0.39035769828926903,8.294453084499736,0.14386815699981526,28.439320703000703
