representation,classifier,label_budget,scenario,ap_mean,ap_sd,recall_mean,recall_sd,f1_mean,f1_sd,fpr_mean,fpr_sd
BASE,LOGREG,0.1,DOMAIN_OOD,0.8913701860833619,0.006759737071066187,0.24209434940383617,0.11395679408670571,0.37656833436726667,0.1497575004870421,0.00694660445826852,0.0025816277030562725
BASE,LOGREG,0.1,DOMAIN_TEMPLATE_OOD,0.8823737537086807,0.007732055481709717,0.23678532901833868,0.11153121218565132,0.3700005302744661,0.14843638349169963,0.006903991370010775,0.0024241860899940114
BASE,LOGREG,0.1,IID,0.8492621271716265,0.007277028504035554,0.296219281663516,0.08229741111525074,0.44766190146052426,0.10028243052163366,0.006021073758153521,0.0042575420844147595
BASE,LOGREG,0.1,TEMPLATE_OOD,0.9135861694684728,0.003981682047261954,0.2745316159250585,0.12447346723120081,0.41699550283462194,0.15398689150370862,0.0050351288056206,0.002074120560177811
BASE,LOGREG,0.1,TEMPORAL,0.9184423060985731,0.004470983192591601,0.28064999999999996,0.12051356251476429,0.425257587907932,0.1472492245347376,0.0053,0.0026422055181230695
BASE,LOGREG,0.25,DOMAIN_OOD,0.9172233240515129,0.010082443950270385,0.2401244167962675,0.07418730036251095,0.3816894038974633,0.0940978859460953,0.0032141005702436497,0.0017732121696720654
BASE,LOGREG,0.25,DOMAIN_TEMPLATE_OOD,0.9111673116082027,0.009718917199288848,0.23149946062567422,0.07437344155342407,0.3702795604622612,0.09516398361043103,0.003344120819848975,0.0018449440535584759
BASE,LOGREG,0.25,IID,0.8624693895918666,0.008362110372716204,0.20189035916824194,0.0695095887960431,0.3298267348759957,0.08883576169038879,0.0035122930255895636,0.002271797576050531
BASE,LOGREG,0.25,TEMPLATE_OOD,0.9327185303405475,0.0053316433768846585,0.26024590163934425,0.08004446510528435,0.4067870997738868,0.09963721145065711,0.003278688524590164,0.0019572031206612156
BASE,LOGREG,0.25,TEMPORAL,0.9363120404935282,0.005982222050341951,0.26665,0.07849494410470016,0.4150020390298791,0.09602909978692285,0.0034500000000000004,0.002654006405418043
BASE,LOGREG,1.0,DOMAIN_OOD,0.925876188699382,0.0,0.2332814930015552,0.0,0.3770423125261835,0.0,0.00414722654224987,0.0
BASE,LOGREG,1.0,DOMAIN_TEMPLATE_OOD,0.9213074954291287,0.0,0.22168284789644016,0.0,0.3616366036075671,0.0,0.004314994606256742,0.0
BASE,LOGREG,1.0,IID,0.8961567104863788,0.0,0.29773156899810965,0.0,0.45751633986928103,0.0,0.002007024586051179,0.0
BASE,LOGREG,1.0,TEMPLATE_OOD,0.9457954310921128,0.0,0.3190866510538642,0.0,0.48262120876688075,0.0,0.0032201405152224825,0.0
BASE,LOGREG,1.0,TEMPORAL,0.9499098889746074,0.0,0.322,0.0,0.4861294583883752,0.0,0.00275,0.0
BASE,MLP,0.1,DOMAIN_OOD,0.8501685349785608,0.04043458528629583,0.16982892690513218,0.040612193684951,0.2863746984668109,0.060662766853422145,0.009849663037843442,0.003965022949916628
BASE,MLP,0.1,DOMAIN_TEMPLATE_OOD,0.8395424357104435,0.04003780719936001,0.1565264293419633,0.03294027499517992,0.2673900475853941,0.05020598842822266,0.009708737864077669,0.004398464517340909
BASE,MLP,0.1,IID,0.8280976021477422,0.026529310543956665,0.29697542533081284,0.04683362454910225,0.4522142229946528,0.057856394383874694,0.006422478675363772,0.0027801094184034254
BASE,MLP,0.1,TEMPLATE_OOD,0.8914671279370303,0.025324453229419983,0.2597775175644028,0.04613354661540284,0.4084415062839586,0.059371384599116936,0.007025761124121781,0.002360145710860231
BASE,MLP,0.1,TEMPORAL,0.8981841040991352,0.023581080431246765,0.266,0.05033419563279025,0.4159569112129816,0.06444940316812682,0.0068000000000000005,0.0020186629238186354
BASE,MLP,0.25,DOMAIN_OOD,0.9020449490067406,0.012783584137402383,0.25184033177812337,0.04557735223247816,0.39863245906561534,0.05850808339333845,0.006220839813374806,0.0023183701166405286
BASE,MLP,0.25,DOMAIN_TEMPLATE_OOD,0.8934021804234842,0.01342371901396077,0.23549083063646173,0.044121017663076655,0.3775698099989792,0.05803555215955322,0.006364617044228695,0.002332443183434698
BASE,MLP,0.25,IID,0.8647285049808426,0.008353200498698357,0.3517958412098299,0.02750293941800874,0.5162622441092124,0.03063961305741173,0.005218263923733066,0.001040463690583428
BASE,MLP,0.25,TEMPLATE_OOD,0.9254155200882155,0.009104147384468032,0.3334894613583138,0.049429050717684185,0.49650536240359716,0.05722222064416471,0.0052693208430913355,0.0006209954167329163
BASE,MLP,0.25,TEMPORAL,0.9301436310549281,0.00895177120113568,0.3438,0.045666043183091774,0.5083248158722035,0.051766815235647426,0.00515,0.0004541475531146239
BASE,MLP,1.0,DOMAIN_OOD,0.9401218536106688,0.003755872672648116,0.2553654743390358,0.046266733747874,0.4042949852599159,0.057695513260105566,0.002488335925349922,0.001484481188520099
BASE,MLP,1.0,DOMAIN_TEMPLATE_OOD,0.935238070877522,0.004379621187282347,0.22934196332254583,0.049507100612054426,0.37030729553112834,0.06374459987157857,0.0023732470334412083,0.0012989853914554797
BASE,MLP,1.0,IID,0.9030768501692332,0.005750565847478979,0.3835538752362949,0.024478144008330656,0.5523329504881577,0.02509261337087613,0.002308078273958856,0.001401328654668233
BASE,MLP,1.0,TEMPLATE_OOD,0.95221716440645,0.002820100660455705,0.331440281030445,0.03854531663431942,0.49598719769583627,0.04288021899418858,0.00234192037470726,0.0007463436056195529
BASE,MLP,1.0,TEMPORAL,0.9561774612227051,0.002760008115143644,0.34825,0.03691332753897973,0.5148377564629398,0.04024131561348834,0.00225,0.0008838834764831844
BASE,XGBOOST,0.1,DOMAIN_OOD,0.8443448481791782,0.016303959626071615,0.10565059616381545,0.05102442427212017,0.18715254379244933,0.08053686540904748,0.005391394504924832,0.0028535736536076488
BASE,XGBOOST,0.1,DOMAIN_TEMPLATE_OOD,0.8340188382831494,0.016390455051944888,0.10409924487594391,0.046801407992524406,0.18508029107117388,0.07454533931137378,0.005285868392664509,0.002838769658455397
BASE,XGBOOST,0.1,IID,0.8104732261592126,0.010741565932519282,0.23402646502835536,0.08150112064948363,0.36927095232022383,0.11189165892918775,0.006823883592574009,0.0038638481300910096
BASE,XGBOOST,0.1,TEMPLATE_OOD,0.8828193591221976,0.010466477461433227,0.18618266978922718,0.07684189245816053,0.307155642142235,0.10695417685304297,0.00468384074941452,0.002028162538136859
BASE,XGBOOST,0.1,TEMPORAL,0.888523289185757,0.008976243612449671,0.18655,0.07507775136483512,0.3076557915515637,0.10372803876649728,0.00555,0.0021894634045811316
BASE,XGBOOST,0.25,DOMAIN_OOD,0.8880644103474532,0.006537093072344853,0.15800933125972008,0.0376001467923117,0.27071090007428217,0.05553406659693547,0.003110419906687403,0.0013216743166388765
BASE,XGBOOST,0.25,DOMAIN_TEMPLATE_OOD,0.8782780049800379,0.007008013561110707,0.1517799352750809,0.030003469560853566,0.2619000913969116,0.044835027511449355,0.003128371089536138,0.0013961358258408616
BASE,XGBOOST,0.25,IID,0.8468054235813354,0.010127070248287885,0.25954631379962195,0.0515040488720819,0.40794529664649415,0.06638648730182922,0.0034119417962870046,0.0011979263809647085
BASE,XGBOOST,0.25,TEMPLATE_OOD,0.9137777603898858,0.004579425184638524,0.2542740046838407,0.04184114554403239,0.4030754489763284,0.05312294138745869,0.002985948477751756,0.0009117336945197562
BASE,XGBOOST,0.25,TEMPORAL,0.9195224279945544,0.005297437639837459,0.25565,0.040867392258376364,0.40481429404994407,0.05155605440484074,0.0032,0.0013393095235978872
BASE,XGBOOST,1.0,DOMAIN_OOD,0.9192938435167815,0.0005316783319763851,0.26168999481596683,0.023943275343153787,0.4132467405682359,0.029834783189359806,0.0034214618973561427,0.00028394119103430064
BASE,XGBOOST,1.0,DOMAIN_TEMPLATE_OOD,0.9114663826356676,0.000940945103123846,0.23538295577130527,0.020075306624989367,0.3797956922347007,0.026181434717868688,0.00302049622437972,0.0002954274851699925
BASE,XGBOOST,1.0,IID,0.8905193102235135,0.0011279177180776243,0.41001890359168247,0.014800437906286108,0.5796661401185815,0.014749997172877569,0.002308078273958856,0.0002748231598119248
BASE,XGBOOST,1.0,TEMPLATE_OOD,0.9383280443886786,0.0009882530880752109,0.3546838407494145,0.01827176346996699,0.5223188351280943,0.019845704605970006,0.0028688524590163933,0.0003206806542770292
BASE,XGBOOST,1.0,TEMPORAL,0.9442041942821561,0.0009213065775119707,0.36585,0.020767011099337332,0.5343832550598272,0.022156406040789563,0.0027,0.00027386127875258327
CONTRASTIVE,LOGREG,0.1,DOMAIN_OOD,0.8016004626320721,0.019857414368964373,0.09725246241575945,0.05385110186780048,0.1725103827938787,0.08963532814140927,0.006324520476931053,0.00426542300274219
CONTRASTIVE,LOGREG,0.1,DOMAIN_TEMPLATE_OOD,0.7938516957952879,0.019699613066746134,0.09687162891046386,0.05548298063291708,0.17168509490952225,0.09184544131972143,0.006256742179072276,0.004391845304384527
CONTRASTIVE,LOGREG,0.1,IID,0.7505672648928471,0.022981739293325545,0.1385633270321361,0.06755092093006689,0.23550021056311116,0.1068525739990731,0.006322127446061214,0.00386384813009101
CONTRASTIVE,LOGREG,0.1,TEMPLATE_OOD,0.8428299748052993,0.017932205614894836,0.14777517564402812,0.08508025007759322,0.24843306464345466,0.1301059909905505,0.0050936768149882905,0.003122865422270395
CONTRASTIVE,LOGREG,0.1,TEMPORAL,0.843133397730233,0.01736049459623451,0.14515,0.08175259934705441,0.2449491014475127,0.12586481066769073,0.005200000000000001,0.0032083874454311156
CONTRASTIVE,LOGREG,0.25,DOMAIN_OOD,0.8428458136200756,0.0048173026388638514,0.16993260756868844,0.06624151833667681,0.28431723820209104,0.09487094927913983,0.006946604458268534,0.0034112356405105447
CONTRASTIVE,LOGREG,0.25,DOMAIN_TEMPLATE_OOD,0.8358848965392645,0.004500140129837499,0.16267529665587918,0.06991360772924547,0.27317708503956134,0.10058286299340174,0.006903991370010787,0.0032897412474599576
CONTRASTIVE,LOGREG,0.25,IID,0.7860558232766022,0.01770659485078087,0.18903591682419657,0.05884834131771197,0.31077825681255805,0.08109438246480438,0.007526342197691922,0.003458115592596644
CONTRASTIVE,LOGREG,0.25,TEMPLATE_OOD,0.873641942405125,0.0048757332063163825,0.22827868852459016,0.08508855945069044,0.363416965855646,0.11335450277209277,0.006147540983606557,0.0028154836155842135
CONTRASTIVE,LOGREG,0.25,TEMPORAL,0.8746711857455015,0.006284889397469536,0.22824999999999998,0.08144841158672157,0.36383996760004,0.10830693349464801,0.00645,0.0027351873793215707
CONTRASTIVE,LOGREG,1.0,DOMAIN_OOD,0.8561409332269347,0.010212596648616672,0.167651632970451,0.047782614857670755,0.28341470049283995,0.07307612978283613,0.0052877138413685845,0.0018474369809440602
CONTRASTIVE,LOGREG,1.0,DOMAIN_TEMPLATE_OOD,0.8496867463585218,0.009492508728645058,0.15911542610571736,0.04773538965377981,0.2708815564185967,0.07412889109576505,0.004962243797195254,0.001764339507421373
CONTRASTIVE,LOGREG,1.0,IID,0.8021659623827171,0.015361889876111494,0.25160680529300566,0.04157393647634073,0.3959677432752724,0.053221472179791646,0.00772704465629704,0.0022043033252873855
