filename,size,SHA256,possible_provenance_evidence
ACTIVE_LEARNING_full_matrix_n10.csv,3934185,884a7df00d5d1b4fa834f0b0adc9942b3792364b2754da25ed9c56258ed21e4c,basename_in_manifest:04_RESULTS/E03_FINAL_N10_PRIMARY/ACTIVE_LEARNING_full_matrix_n10.csv
ACTIVE_LEARNING_summary_n10.csv,245482,716c7cc9e1e69d4383b8e21d37355de9e83233a28f5e961c35420700a56b259c,basename_in_manifest:04_RESULTS/E03_FINAL_N10_PRIMARY/ACTIVE_LEARNING_summary_n10.csv
AL_SSL_INTERACTION_COMPLETE.json,1989,6f01e7f7c0d7465da9e4dcd421c9d316bd0c1868f636c2cb5688479649607503,basename_in_manifest:04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/AL_SSL_INTERACTION_COMPLETE.json | basename_in_manifest:06_LOGS_AUDITS/AL_SSL_INTERACTION_COMPLETE.json
AL_SSL_INTERACTION_PROGRESS.json,246,ea6d0c8f9e2b796032274888282e3b06d2c3a2e1dbd62c04f9a7a996fbfe32d4,basename_in_manifest:04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/audit/AL_SSL_INTERACTION_PROGRESS.json
AL_SSL_INTERACTION_results_long.csv,174613,00c2553dff9e6cc0c59b5b53e70cab8dc1a3ef89dcb2000d3aaec957b92ac692,basename_in_manifest:04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/AL_SSL_INTERACTION_results_long.csv
AL_SSL_INTERACTION_statistics_n10.csv,67631,cd5f76a9b778503b8de2027e90f8df7c64a8462e4bd21437e6a2270fd833326f,basename_in_manifest:04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/AL_SSL_INTERACTION_statistics_n10.csv
ap_equal_n_sensitivity_results.csv,444328,a292dbdb40d2a1a60169958826a7f8d58bd1c61980f149b41f510136950d809b,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/ap_equal_n_sensitivity_results.csv
ap_shift_corrected_prevalence_matched.csv,403112,3d992d1b890d0be9cd8761d473e7dd33929d011cad37fb463988cdb84432248d,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/ap_shift_corrected_prevalence_matched.csv
ap_shift_equal_n_sensitivity.csv,293314,f59598ac1880055521302f227474ca5fd25be9ff66c2d6c4c129671d0a5d79f9,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/ap_shift_equal_n_sensitivity.csv
artifact_audit.json,1145,db92f1923ac13b175602727d2a19518eee95341bd2e4c85aba7bc8b45d020f75,basename_in_manifest:04_RESULTS/E01_CORE_FREEZE/artifact_audit.json | basename_in_manifest:06_LOGS_AUDITS/artifact_audit.json
b0_structural_feature_columns.csv,693,8edc240fbfa23369ba7cbbea9e94ad9f933e30b5c71ffc45013868948b5214cd,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/b0_structural_feature_columns.csv
b0_train_only_tuning.csv,2400,8c7e53a58f2f0fdbee0c5397ae72d5c94bf6ddc580113c6dc954d7ea5154469d,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/b0_train_only_tuning.csv
best_classifier_params.json,259,7d47f26bebf63e7f6ccb1860dc34a8f2c3e57f9756bf7d66551594e35182f9df,basename_in_manifest:04_RESULTS/E01_CORE_FREEZE/best_classifier_params.json
cascade_results.csv,625978,246891b319f20b291c660db25f69a83d399d83b5fa59186adec0f3015c93924b,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/cascade_results.csv
CASCADE_STAGE1_JUSTIFICATION.csv,13916,a95c78e07bf2c65b3477ff5c4650dd40f246c9e1096a75f2e4e5ef9b0e02e9a5,basename_in_manifest:04_RESULTS/E03_FINAL_N10_PRIMARY/CASCADE_STAGE1_JUSTIFICATION.csv
CASCADE_stage1_sensitivity_n10.csv,8729932,da76afcf9e5e236496309decdeff1c602bc6e50ae197a665c174f284363b0462,basename_in_manifest:04_RESULTS/E03_FINAL_N10_PRIMARY/CASCADE_stage1_sensitivity_n10.csv
CASCADE_stage1_sensitivity_summary_n10.csv,694338,7d9098c748cf90776c01ce91f6085a35152093337446bce4fe0e4e7b791c7163,basename_in_manifest:04_RESULTS/E03_FINAL_N10_PRIMARY/CASCADE_stage1_sensitivity_summary_n10.csv
cascade_summary.csv,63104,bd77a5d126b943fc1cae6c53efc4a0f3094695730e3d51e74f435fc977f377c6,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/cascade_summary.csv
classifier_tuning.csv,3138,942ce8e6168b43a53ad0ee04f1f72eccecb9994e95aa76a778976788ed3ffa9c,basename_in_manifest:04_RESULTS/E01_CORE_FREEZE/classifier_tuning.csv
configuration.json,1060,02189133c454fdc5dac705fa72b8f6a1156504da5e8e65c203a66c6703ac8b2b,basename_in_manifest:04_RESULTS/E01_CORE_FREEZE/configuration.json
contrastive_training_history.csv,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,basename_in_manifest:04_RESULTS/E01_CORE_FREEZE/contrastive_training_history.csv
DAPT_E2E_training_history_seed42.csv,261,b3305f8cf88f044ca61e22cf999dad414972e734ae75d40c0a77e462d841dae3,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/DAPT_E2E_training_history_seed42.csv
DAPT_E2E_training_history_seed52.csv,261,f82075f1dfc3ef460439a09f18e6617e50a05c76e17ebee2bab990d82c968575,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/DAPT_E2E_training_history_seed52.csv
DAPT_E2E_training_history_seed62.csv,263,69f38101b41ae90e9e1ae97e4931217652358008bbba12afac71fca67bc2dded,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/DAPT_E2E_training_history_seed62.csv
DAPT_E2E_training_history_seed72.csv,263,d2d1fc490455bfeb6af9ee64f36220652d553c0a07d811b88712ef90766cd821,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/DAPT_E2E_training_history_seed72.csv
DAPT_E2E_training_history_seed82.csv,263,64a542e7c9a053813c4b0b291a2cab5dc419a9c3791fa3c21c0ca00cc4c74c54,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/DAPT_E2E_training_history_seed82.csv
DAPT_T0_gaps_by_AL_strategy.csv,41346,2ed406b2600baff742725d5f5acee6d3b803207f1ca306e74eae5d0b62c62bb8,basename_in_manifest:04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/DAPT_T0_gaps_by_AL_strategy.csv
effect_confidence_intervals.csv,71606,7655e905ca9c6bc97d2a06b64a07e45fe8d22efddf397b023e9a304ce9761622,basename_in_manifest:04_RESULTS/E01_CORE_FREEZE/effect_confidence_intervals.csv
error_complementarity.csv,105558,0add8df1e53a7f29a82afc8169c73d1583d0df4a221768489e6076062dcbe506,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/error_complementarity.csv
error_complementarity_summary.csv,17789,88c816c8a93dbbc54718cf30389f152c3e4df71fbe2427540f363c9069aad298,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/error_complementarity_summary.csv
error_feature_profiles_seed42.csv,29762,ab9d07b69ce98c59b9ce24fba95da5a76d4768f210d6ee51fba038ee54118b7e,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/error_feature_profiles_seed42.csv
figure_manifest.csv,465,ea50f284687bd277760228b70e4f0438d9dab4d9b8ee2f05facc3171575e665a,basename_in_manifest:04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/figures/figure_manifest.csv
FINAL_FREEZE_COMPLETE.json,210,a3d6ba22df618728bcb21cf1f932fe0a39a46c5df11ac238e1a905f4d9524237,basename_in_manifest:04_RESULTS/E01_CORE_FREEZE/FINAL_FREEZE_COMPLETE.json | basename_in_manifest:06_LOGS_AUDITS/FINAL_FREEZE_COMPLETE.json
FINAL_N10_COMPLETE.json,1513,cbd9d14239a7c349807be9b763482d9d108c4a73963aecb765284f94544eb588,basename_in_manifest:04_RESULTS/E03_FINAL_N10_PRIMARY/FINAL_N10_COMPLETE.json | basename_in_manifest:06_LOGS_AUDITS/FINAL_N10_COMPLETE.json
freeze_corrected_results.csv,636028,fcd14903b05edb34e3653a8db61363e95ae1511e5f00b8a5d233d6ab71350176,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/freeze_corrected_results.csv
freeze_corrected_summary.csv,123779,bbb585543f49f02b13854ff323c276021b0d107239919080e70f5312d980c659,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/freeze_corrected_summary.csv
HYBRID_FREEZE_EXTENSION_COMPLETE.json,1041,0ba370068ef4948243d8539f91ddc5f7296b28827719776916fe787b9091abba,basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/HYBRID_FREEZE_EXTENSION_COMPLETE.json | basename_in_manifest:06_LOGS_AUDITS/HYBRID_FREEZE_EXTENSION_COMPLETE.json
label_budget_audit.csv,353,9f89946c66674e2f7cd76f9c2f79e493302800daf655f13d2d8693cc7f2a200e,basename_in_manifest:04_RESULTS/E01_CORE_FREEZE/label_budget_audit.csv | basename_in_manifest:04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/label_budget_audit.csv
LOOP_acquisition_audit.csv,6229,18ddf1b4cbe7125b428ca575a9610c0b56b1a56a55c9712f31f7892d9bac9c6d,basename_in_manifest:04_RESULTS/E04_PRODUCTIVE_AL/LOOP_acquisition_audit.csv | basename_in_manifest:04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/LOOP_acquisition_audit.csv
LOOP_annotation_efficiency.csv,1348,ea6653a6481b20e912a36a07a0af80cdb11d9ea815fac00267f74ed276f0b894,basename_in_manifest:04_RESULTS/E04_PRODUCTIVE_AL/LOOP_annotation_efficiency.csv | basename_in_manifest:04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/LOOP_annotation_efficiency.csv
LOOP_results_long.csv,3087888,8dcf67200293d68a0d21b717ee85d185e2005f4b77f8b66d6c5c42219a1d6a05,basename_in_manifest:04_RESULTS/E04_PRODUCTIVE_AL/LOOP_results_long.csv | basename_in_manifest:04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/LOOP_results_long.csv
LOOP_SSL_refresh_ablation.csv,301401,f9f8d7d5eb4da4573402907330a568c270c9f11606e7c10103445af9573c5029,basename_in_manifest:04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/LOOP_SSL_refresh_ablation.csv
LOOP_SSL_refresh_statistics.csv,14905,d199aced031a5e6ebb117f8214195b2ef7d2b4074abf9aaf36c9bf35bbeb1789,basename_in_manifest:04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/LOOP_SSL_refresh_statistics.csv
