model,seed,seed_group,scenario,target_fpr,review_fraction,stage1_recall,stage1_fpr,direct_recall,direct_fpr,direct_precision,direct_f1,direct_ap,direct_auc,review_n,review_fraction_all,review_precision,rescued_stage1_fn,capture_rate,assisted_recall
DAPT_STATIC,42,ORIGINAL5,TEMPORAL,0.005,0.2,0.53475,0.00175,0.7105,0.003,0.9957953749124037,0.8292967610154655,0.9720059399969443,0.9597059375,1171,0.146375,0.9812126387702819,1149,0.6174099946265449,0.822
DAPT_SSL_REFRESH,42,ORIGINAL5,TEMPORAL,0.005,0.2,0.53475,0.00175,0.6675,0.00375,0.994413407821229,0.7988032909498878,0.9748467044618789,0.96419171875,1171,0.146375,0.9735269000853971,1140,0.6125738850080602,0.81975
DAPT_STATIC,42,ORIGINAL5,DOMAIN_OOD,0.005,0.2,0.45049248315189216,0.002592016588906169,0.6443753240020736,0.002592016588906169,0.9959935897435898,0.782499213094114,0.9691127494375248,0.9573447322940005,597,0.1547433903576983,0.9916247906197655,592,0.5584905660377358,0.7573872472783826
DAPT_SSL_REFRESH,42,ORIGINAL5,DOMAIN_OOD,0.005,0.2,0.45049248315189216,0.002592016588906169,0.5889061689994816,0.003110419906687403,0.9947460595446584,0.7398241615109085,0.9718662633117665,0.962450292807846,597,0.1547433903576983,0.981574539363484,586,0.5528301886792453,0.7542768273716952
DAPT_STATIC,42,ORIGINAL5,TEMPLATE_OOD,0.005,0.2,0.5152224824355972,0.0020491803278688526,0.697599531615925,0.0026346604215456673,0.9962374581939799,0.8205922865013774,0.9724659748350754,0.9611423580450723,1013,0.1482728337236534,0.9861796643632774,999,0.6032608695652174,0.8076697892271663
DAPT_SSL_REFRESH,42,ORIGINAL5,TEMPLATE_OOD,0.005,0.2,0.5152224824355972,0.0020491803278688526,0.6533957845433255,0.0032201405152224825,0.9950958537672759,0.7888319491076162,0.974522389608734,0.964109436101772,1013,0.1482728337236534,0.9753208292201382,988,0.5966183574879227,0.8044496487119438
DAPT_STATIC,42,ORIGINAL5,DOMAIN_TEMPLATE_OOD,0.005,0.2,0.42340884573894283,0.002696871628910464,0.6062567421790723,0.002157497303128371,0.9964539007092199,0.7538564721663313,0.9668298759118074,0.9543750123642982,584,0.1574973031283711,0.9948630136986302,581,0.5434985968194574,0.7367853290183387
DAPT_SSL_REFRESH,42,ORIGINAL5,DOMAIN_TEMPLATE_OOD,0.005,0.2,0.42340884573894283,0.002696871628910464,0.5555555555555556,0.002696871628910464,0.9951690821256038,0.7130494980962271,0.969632111345817,0.9595381978264438,584,0.1574973031283711,0.9794520547945206,572,0.5350795135640786,0.7319309600862999
DAPT_STATIC,52,ORIGINAL5,TEMPORAL,0.005,0.2,0.6685,0.0035,0.56875,0.002,0.9964958388085852,0.7241763488779246,0.9753433226595991,0.9676281562500001,1063,0.132875,0.9143932267168391,972,0.7330316742081447,0.9115
DAPT_SSL_REFRESH,52,ORIGINAL5,TEMPORAL,0.005,0.2,0.6685,0.0035,0.765,0.00475,0.9938291653134135,0.8645288882610538,0.9740602916927947,0.9625898125000001,1063,0.132875,0.922859830667921,981,0.7398190045248869,0.91375
DAPT_STATIC,52,ORIGINAL5,DOMAIN_OOD,0.005,0.2,0.589942975635044,0.00414722654224987,0.46241575946086055,0.0015552099533437014,0.9966480446927374,0.6317280453257791,0.9732682362044629,0.9653670841036152,543,0.14074650077760498,0.9650092081031307,524,0.6624525916561315,0.8615863141524106
DAPT_SSL_REFRESH,52,ORIGINAL5,DOMAIN_OOD,0.005,0.2,0.589942975635044,0.00414722654224987,0.7019180922757906,0.005184033177812338,0.9926686217008798,0.8223504403279684,0.9730408148200855,0.9622398678219347,543,0.14074650077760498,0.9558011049723757,519,0.6561314791403287,0.8589942975635044
DAPT_STATIC,52,ORIGINAL5,TEMPLATE_OOD,0.005,0.2,0.6528103044496487,0.004098360655737705,0.5579625292740047,0.0014637002341920376,0.9973835688121402,0.7155997747324948,0.9750851760419392,0.9672099868232702,918,0.13436768149882905,0.9324618736383442,856,0.7217537942664418,0.9033957845433255
DAPT_SSL_REFRESH,52,ORIGINAL5,TEMPLATE_OOD,0.005,0.2,0.6528103044496487,0.004098360655737705,0.757903981264637,0.00468384074941452,0.9938579654510556,0.8599900348779272,0.9736853438300767,0.9625902043832851,918,0.13436768149882905,0.9389978213507625,862,0.7268128161888702,0.905152224824356
DAPT_STATIC,52,ORIGINAL5,DOMAIN_TEMPLATE_OOD,0.005,0.2,0.5668824163969794,0.004314994606256742,0.43635382955771307,0.0010787486515641855,0.9975339087546239,0.6071294559099437,0.9717552680280985,0.9627815714353873,530,0.1429341963322546,0.9716981132075472,515,0.6413449564134496,0.8446601941747572
