seed,scenario,target_fpr,stage1_model,stage1_threshold,stage1_calibration_empirical_fpr,stage1_empirical_fpr,stage1_fp,stage1_tn,stage1_tp,stage1_fn,stage1_recall,ranker,ranker_own_threshold,ranker_calibration_empirical_fpr,ranker_empirical_fpr_at_own_threshold,review_fraction_of_stage1_negatives,stage1_negative_n,review_n,review_fraction_of_all_cases,review_phishing_n,review_benign_n,review_precision,rescued_stage1_fn,capture_rate_of_stage1_fn,review_assisted_recall_upper_bound,potential_recall_gain_pp,self_rescued_stage1_fn,self_review_precision,self_review_assisted_recall_upper_bound,rescued_fn_lift_vs_self,review_precision_lift_vs_self,recall_upper_bound_lift_vs_self_pp
42,IID_ORIGINAL,0.005,B0_STRUCT_XGB,0.9628620147705079,0.00468384074941452,0.004515805318615153,9,1984,501,557,0.4735349716446125,B0_SELF,0.9628620147705079,0.00468384074941452,0.004515805318615153,0.05,2541,128,0.04195345788266142,108,20,0.84375,108,0.19389587073608616,0.5756143667296786,10.207939508506609,108,0.84375,0.5756143667296786,0,0.0,0.0
42,IID_ORIGINAL,0.005,B0_STRUCT_XGB,0.9628620147705079,0.00468384074941452,0.004515805318615153,9,1984,501,557,0.4735349716446125,T0_E2E,0.9969544410705568,0.00468384074941452,0.008028098344204716,0.05,2541,128,0.04195345788266142,126,2,0.984375,126,0.22621184919210055,0.5926275992438563,11.909262759924383,108,0.84375,0.5756143667296786,18,0.140625,1.7013232514177745
42,IID_ORIGINAL,0.005,B0_STRUCT_XGB,0.9628620147705079,0.00468384074941452,0.004515805318615153,9,1984,501,557,0.4735349716446125,DAPT_E2E,0.999014973640442,0.00468384074941452,0.006021073758153537,0.05,2541,128,0.04195345788266142,126,2,0.984375,126,0.22621184919210055,0.5926275992438563,11.909262759924383,108,0.84375,0.5756143667296786,18,0.140625,1.7013232514177745
42,IID_ORIGINAL,0.005,B0_STRUCT_XGB,0.9628620147705079,0.00468384074941452,0.004515805318615153,9,1984,501,557,0.4735349716446125,BASE_EMB_MLP,0.9907682538032533,0.00468384074941452,0.004515805318615153,0.05,2541,128,0.04195345788266142,116,12,0.90625,116,0.20825852782764812,0.5831758034026465,10.964083175803403,108,0.84375,0.5756143667296786,8,0.0625,0.7561436672967936
42,IID_ORIGINAL,0.005,B0_STRUCT_XGB,0.9628620147705079,0.00468384074941452,0.004515805318615153,9,1984,501,557,0.4735349716446125,DAPT_EMB_MLP,0.9433161020278932,0.00468384074941452,0.009031610637230306,0.05,2541,128,0.04195345788266142,113,15,0.8828125,113,0.20287253141831238,0.5803402646502835,10.680529300567104,108,0.84375,0.5756143667296786,5,0.0390625,0.472589792060496
42,IID_ORIGINAL,0.005,B0_STRUCT_XGB,0.9628620147705079,0.00468384074941452,0.004515805318615153,9,1984,501,557,0.4735349716446125,CONTRASTIVE_EMB_MLP,0.9917105436325074,0.00468384074941452,0.006021073758153537,0.05,2541,128,0.04195345788266142,99,29,0.7734375,99,0.17773788150807898,0.5671077504725898,9.357277882797726,108,0.84375,0.5756143667296786,-9,-0.0703125,-0.8506616257088817
42,IID_ORIGINAL,0.005,B0_STRUCT_XGB,0.9628620147705079,0.00468384074941452,0.004515805318615153,9,1984,501,557,0.4735349716446125,B0_SELF,0.9628620147705079,0.00468384074941452,0.004515805318615153,0.1,2541,255,0.08357915437561456,194,61,0.7607843137254902,194,0.348294434470377,0.6568998109640832,18.336483931947072,194,0.7607843137254902,0.6568998109640832,0,0.0,0.0
42,IID_ORIGINAL,0.005,B0_STRUCT_XGB,0.9628620147705079,0.00468384074941452,0.004515805318615153,9,1984,501,557,0.4735349716446125,T0_E2E,0.9969544410705568,0.00468384074941452,0.008028098344204716,0.1,2541,255,0.08357915437561456,236,19,0.9254901960784314,236,0.4236983842010772,0.6965973534971645,22.306238185255197,194,0.7607843137254902,0.6568998109640832,42,0.16470588235294126,3.969754253308122
42,IID_ORIGINAL,0.005,B0_STRUCT_XGB,0.9628620147705079,0.00468384074941452,0.004515805318615153,9,1984,501,557,0.4735349716446125,DAPT_E2E,0.999014973640442,0.00468384074941452,0.006021073758153537,0.1,2541,255,0.08357915437561456,234,21,0.9176470588235294,234,0.42010771992818674,0.6947069943289225,22.117202268430997,194,0.7607843137254902,0.6568998109640832,40,0.1568627450980392,3.7807183364839236
42,IID_ORIGINAL,0.005,B0_STRUCT_XGB,0.9628620147705079,0.00468384074941452,0.004515805318615153,9,1984,501,557,0.4735349716446125,BASE_EMB_MLP,0.9907682538032533,0.00468384074941452,0.004515805318615153,0.1,2541,255,0.08357915437561456,197,58,0.7725490196078432,197,0.35368043087971274,0.6597353497164461,18.62003780718336,194,0.7607843137254902,0.6568998109640832,3,0.01176470588235301,0.2835538752362865
