contrast,scenario,metric,n_seeds,mean_difference,sd_difference,ci95_low,ci95_high,exact_signflip_p_two_sided,cohen_dz,wins,ties,losses
DAPT_minus_T0_same_AL_selected_labels,TEMPORAL,direct_recall,10,0.04675000000000003,0.09045118388759023,-0.01795487904880891,0.11145487904880896,0.1328125,0.51685337870314,7,0,3
DAPT_minus_T0_same_AL_selected_labels,TEMPORAL,direct_fpr,10,-0.00012500000000000006,0.0018568566629297662,-0.0014533152372572717,0.0012033152372572715,0.890625,-0.06731806632978006,4,2,4
DAPT_minus_T0_same_AL_selected_labels,TEMPORAL,direct_ap,10,-0.0005234090231300504,0.004453969093708824,-0.0037095865733732854,0.002662768527113185,0.755859375,-0.11751518973702783,5,0,5
DAPT_minus_T0_same_AL_selected_labels,TEMPORAL,assisted_recall,10,0.002625000000000022,0.00398303694852726,-0.00022429298793567778,0.0054742929879357215,0.06640625,0.6590448529408254,9,0,1
DAPT_minus_T0_same_AL_selected_labels,TEMPORAL,review_precision,10,0.009401990714203945,0.014471231112548518,-0.0009501044003109652,0.019754085828718855,0.068359375,0.6497022016358474,9,0,1
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_OOD,direct_recall,10,0.06080870917573873,0.10991184106279492,-0.017817485378424425,0.1394349037299019,0.11328125,0.5532498463108944,7,0,3
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_OOD,direct_fpr,10,-0.00041472265422498703,0.002572357914764596,-0.0022548766532256067,0.0014254313447756325,0.671875,-0.1612227644701377,2,3,5
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_OOD,direct_ap,10,0.0006085837055826327,0.004260301999472657,-0.002439052751336065,0.003656220162501331,0.66796875,0.1428498978846954,6,0,4
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_OOD,assisted_recall,10,0.003888024883359231,0.005214185681567162,0.00015802114694464216,0.00761802861977382,0.05078125,0.7456629128310323,8,0,2
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_OOD,review_precision,10,0.013362657563611213,0.018204124175970244,0.00034021161686159825,0.02638510351036083,0.048828125,0.7340456170503468,8,0,2
DAPT_minus_T0_same_AL_selected_labels,TEMPLATE_OOD,direct_recall,10,0.04774590163934426,0.08995072239777588,-0.016600968826544764,0.11209277210523327,0.130859375,0.5308006469164813,7,0,3
DAPT_minus_T0_same_AL_selected_labels,TEMPLATE_OOD,direct_fpr,10,-0.00023419203747072594,0.0017607718296081124,-0.0014937723256506139,0.0010253882507091619,0.73828125,-0.1330053295564418,4,1,5
DAPT_minus_T0_same_AL_selected_labels,TEMPLATE_OOD,direct_ap,10,-0.0004478942351907156,0.0039000406390637767,-0.0032378152399801675,0.002342026769598736,0.791015625,-0.11484347898955093,5,0,5
DAPT_minus_T0_same_AL_selected_labels,TEMPLATE_OOD,assisted_recall,10,0.003103044496487095,0.0038914734053441024,0.00031925212150422846,0.005886836871469962,0.037109375,0.7973957864457535,8,0,2
DAPT_minus_T0_same_AL_selected_labels,TEMPLATE_OOD,review_precision,10,0.011045563269946745,0.01408907254754311,0.0009668479240910483,0.02112427861580244,0.041015625,0.7839808640827036,8,0,2
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_TEMPLATE_OOD,direct_recall,10,0.05474649406688242,0.10848540220758197,-0.022859287601234055,0.13235227573499891,0.142578125,0.504643877912048,7,0,3
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_TEMPLATE_OOD,direct_fpr,10,-0.00032362459546925583,0.002190211051109825,-0.0018904071964526504,0.001243158005514139,0.703125,-0.14775954824320175,3,2,5
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_TEMPLATE_OOD,direct_ap,10,0.0007007828570472663,0.004466034633436243,-0.0024940258603644554,0.0038955915744589877,0.658203125,0.15691388772506495,8,0,2
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_TEMPLATE_OOD,assisted_recall,10,0.0036138079827400136,0.005820635127794505,-0.0005500235531661095,0.007777639518646137,0.087890625,0.6208614529853412,7,0,3
DAPT_minus_T0_same_AL_selected_labels,DOMAIN_TEMPLATE_OOD,review_precision,10,0.01207481777839795,0.02019864298571301,-0.0023744209730247965,0.0265240565298207,0.095703125,0.5978034161472512,7,0,3
